
 9.750     2  18.98  18.90  12.77  12.55
10.000     2  18.76  18.69  12.48  12.27
10.250     2  18.54  18.54  13.42  11.91
10.500     2  18.33  18.33  13.28  12.63
10.750     2  18.11  18.04  11.40  11.18
11.000     2  17.82  17.82  10.90  10.82
11.250     2  17.24  17.24  10.46  10.39
11.500     2  15.59  15.59   9.45   9.67
11.750     2      n      n   9.81   9.60
12.000     2      n      n  12.41  10.03
12.250     2      n      n  12.27   9.96
12.500     2      n      n  12.12  11.91
12.750     2      n      n  11.98  11.83
13.000     2      n      n  11.91  11.69
13.250     2      n      n  11.83  11.62
13.500     2      n      n  11.69  11.54
13.750     2      n      n  11.62  11.40
