
delt0=     0.1  eps=   1e-05  ep=   1e-06  ep1=   0.001
Geomagnetic Field - const
fh= 1.36  i=  65.0  d=   0.0
Number TID: 1
Tid Parametres
  delt   lamb     t     b      a     fi
0.000   200.0  20.0 -45.0   45.0   0.000
delta=-0.000  r0= 200.0  lon=  39.000 lat=  55.000
Beta=  20.0  Alfa=   0.0 aX=  20.0 aY= 100.0 aZ=  20.0

+==============================================================================+
|   Medium characteristics Sunspot number=  68.9 IG= 132.5   GMT time:05:31    |
|------------------------------------------------------------------------------|
|   S   | fh |  I  |   D  | fd |  hd | fe |  he | ff1 | hf1 | ff2 | hf2 |   Hi |
|-------+----+-----+------+----+-----+----+-----+-----+-----+-----+-----+------|
|    0.0|0.99| 26.8|  -1.5|0.18| 83.5|1.10|110.0| 0.00|  0.0| 6.40|273.4|  93.1|
+==============================================================================+


Number diff. equation: 6

+---+-----+-------+---+-----+-----+--------+--------+---------+------+------+-------+------+------+--------+--------+------+------+-------+-------+----------------+
|0-x| fr  |  time |hop| d0  | d1  |   fi   |  teta  |   dist  |  at  |  dev |   p   |  df  |  l   |   fot  |   tot  |  rot | lsp  |   pf  |    s  |                |
+---+-----+-------+---+-----+-----+--------+--------+---------+------+------+-------+------+------+--------+--------+------+------+-------+-------+----------------+
|  0| 1.00|    0.0|  1|90.00|89.06|  37.275|  34.522|    1.803| -60.5| -54.0|  217.7| 0.000|   0.0|  37.299|  34.502| 95.79|   0.0|    0.0|    0.0|E               |
|  0| 1.50|    0.0|  1|90.00|80.29|  36.662|  34.298|   47.678| -57.0| -50.5|  493.5| 0.000|   0.0|  37.212|  34.306|167.63|   0.0|    0.0|    0.0|F2              |
|  0| 2.00|    0.0|  1|90.00|83.36|  36.932|  34.379|   28.598| -53.8| -47.3|  459.5| 0.000|   0.0|  37.260|  34.412|186.59|   0.0|    0.0|    0.0|F2              |
|  0| 2.50|    0.0|  1|90.00|83.56|  36.939|  34.379|   28.251| -53.4| -46.9|  483.4| 0.000|   0.0|  37.263|  34.435|198.12|   0.0|    0.0|    0.0|F2              |
|  0| 3.00|    0.0|  1|90.00|83.44|  36.915|  34.369|   30.137| -53.4| -46.9|  512.2| 0.000|   0.0|  37.262|  34.439|208.96|   0.0|    0.0|    0.0|F2              |
|  0| 3.50|    0.0|  1|90.00|83.12|  36.871|  34.352|   33.475| -53.5| -47.0|  545.4| 0.000|   0.0|  37.256|  34.436|219.66|   0.0|    0.0|    0.0|F2              |
|  0| 4.00|    0.0|  1|90.00|82.52|  36.795|  34.324|   39.116| -54.0| -47.5|  587.5| 0.000|   0.0|  37.245|  34.427|230.95|   0.0|    0.0|    0.0|F2              |
|  0| 4.50|    0.0|  1|90.00|81.23|  36.629|  34.268|   51.250| -55.1| -48.6|  655.5| 0.000|   0.0|  37.217|  34.403|244.34|   0.0|    0.0|    0.0|F2              |
|  0| 4.60|    0.0|  1|90.00|80.75|  36.563|  34.246|   55.980| -55.4| -48.9|  677.9| 0.000|   0.0|  37.203|  34.394|247.62|   0.0|    0.0|    0.0|F2              |
|  0| 4.70|    0.0|  1|90.00|80.06|  36.468|  34.216|   62.863| -55.9| -49.4|  707.9| 0.000|   0.0|  37.188|  34.381|251.36|   0.0|    0.0|    0.0|F2              |
|  0| 4.80|    0.0|  1|90.00|78.95|  36.305|  34.164|   74.525| -56.5| -50.0|  754.0| 0.000|   0.0|  37.153|  34.359|255.84|   0.0|    0.0|    0.0|F2              |
|  0| 4.90|    0.0|  1|90.00|76.52|  35.912|  34.044|  102.361| -57.6| -51.1|  850.9| 0.000|   0.0|  37.061|  34.314|262.17|   0.0|    0.0|    0.0|F2              |
|  0| 4.95|    0.0|  1|90.00|71.16|  34.885|  33.746|  174.052| -59.0| -52.5| 1057.3| 0.000|   0.0|  36.720|  34.221|268.62|   0.0|    0.0|    0.0|F2              |
|  0| 7.50|    0.0|  1| 0.00| 0.00|   0.000|   0.000|    0.000|   0.0|   0.0|    0.0| 0.000|   0.0|   0.000|   0.000|  0.00|   0.0|    0.0|    0.0|                |
|  0| 8.00|    0.0|  1| 0.00| 0.00|   0.000|   0.000|    0.000|   0.0|   0.0|    0.0| 0.000|   0.0|   0.000|   0.000|  0.00|   0.0|    0.0|    0.0|                |
|  0| 8.50|    0.0|  1| 0.00| 0.00|   0.000|   0.000|    0.000|   0.0|   0.0|    0.0| 0.000|   0.0|   0.000|   0.000|  0.00|   0.0|    0.0|    0.0|                |
|  0| 9.00|    0.0|  1| 0.00| 0.00|   0.000|   0.000|    0.000|   0.0|   0.0|    0.0| 0.000|   0.0|   0.000|   0.000|  0.00|   0.0|    0.0|    0.0|                |
|  0| 9.50|    0.0|  1| 0.00| 0.00|   0.000|   0.000|    0.000|   0.0|   0.0|    0.0| 0.000|   0.0|   0.000|   0.000|  0.00|   0.0|    0.0|    0.0|                |
|  0|10.00|    0.0|  1| 0.00| 0.00|   0.000|   0.000|    0.000|   0.0|   0.0|    0.0| 0.000|   0.0|   0.000|   0.000|  0.00|   0.0|    0.0|    0.0|                |
|  0|10.50|    0.0|  1| 0.00| 0.00|   0.000|   0.000|    0.000|   0.0|   0.0|    0.0| 0.000|   0.0|   0.000|   0.000|  0.00|   0.0|    0.0|    0.0|                |
+---+-----+-------+---+-----+-----+--------+--------+---------+------+------+-------+------+------+--------+--------+------+------+-------+-------+----------------+
+---+-----+-------+---+-----+-----+--------+--------+---------+------+------+-------+------+------+--------+--------+------+------+-------+-------+----------------+
|0-x| fr  |  time |hop| d0  | d1  |   fi   |  teta  |   dist  |  at  |  dev |   p   |  df  |  l   |   fot  |   tot  |  rot | lsp  |   pf  |    s  |                |
+---+-----+-------+---+-----+-----+--------+--------+---------+------+------+-------+------+------+--------+--------+------+------+-------+-------+----------------+
|  0|11.00|    0.0|  1| 0.00| 0.00|   0.000|   0.000|    0.000|   0.0|   0.0|    0.0| 0.000|   0.0|   0.000|   0.000|  0.00|   0.0|    0.0|    0.0|                |
|  0|11.50|    0.0|  1| 0.00| 0.00|   0.000|   0.000|    0.000|   0.0|   0.0|    0.0| 0.000|   0.0|   0.000|   0.000|  0.00|   0.0|    0.0|    0.0|                |
|  0|12.00|    0.0|  1| 0.00| 0.00|   0.000|   0.000|    0.000|   0.0|   0.0|    0.0| 0.000|   0.0|   0.000|   0.000|  0.00|   0.0|    0.0|    0.0|                |
|  0|12.50|    0.0|  1| 0.00| 0.00|   0.000|   0.000|    0.000|   0.0|   0.0|    0.0| 0.000|   0.0|   0.000|   0.000|  0.00|   0.0|    0.0|    0.0|                |
|  0|13.00|    0.0|  1| 0.00| 0.00|   0.000|   0.000|    0.000|   0.0|   0.0|    0.0| 0.000|   0.0|   0.000|   0.000|  0.00|   0.0|    0.0|    0.0|                |
|  0|13.50|    0.0|  1| 0.00| 0.00|   0.000|   0.000|    0.000|   0.0|   0.0|    0.0| 0.000|   0.0|   0.000|   0.000|  0.00|   0.0|    0.0|    0.0|                |
|  0|14.00|    0.0|  1| 0.00| 0.00|   0.000|   0.000|    0.000|   0.0|   0.0|    0.0| 0.000|   0.0|   0.000|   0.000|  0.00|   0.0|    0.0|    0.0|                |
|  0|14.50|    0.0|  1| 0.00| 0.00|   0.000|   0.000|    0.000|   0.0|   0.0|    0.0| 0.000|   0.0|   0.000|   0.000|  0.00|   0.0|    0.0|    0.0|                |
|  0|15.00|    0.0|  1| 0.00| 0.00|   0.000|   0.000|    0.000|   0.0|   0.0|    0.0| 0.000|   0.0|   0.000|   0.000|  0.00|   0.0|    0.0|    0.0|                |
|  1| 1.00|    0.0|  1|90.00|90.00|  37.300|  34.530|    0.000| 164.9| 171.4|  110.0| 0.000|   0.0|  37.300|  34.530| 55.00|   0.0|    0.0|    0.0|D               |
|  1| 1.50|    0.0|  1|90.00|90.00|  37.300|  34.530|    0.000| -67.6| -61.1|  241.0| 0.000|   0.0|  37.300|  34.536| 89.14|   0.0|    0.0|    0.0|E               |
|  1| 2.00|    0.0|  1|90.00|88.22|  37.256|  34.514|    3.317| -57.0| -50.5|  292.7| 0.000|   0.0|  37.299|  34.541| 99.68|   0.0|    0.0|    0.0|E               |
|  1| 2.50|    0.0|  1|90.00|81.06|  36.898|  34.365|   31.219| -54.0| -47.5|  593.3| 0.000|   0.0|  37.263|  34.578|176.22|   0.0|    0.0|    0.0|F2              |
|  1| 3.00|    0.0|  1|90.00|83.06|  36.983|  34.392|   25.123| -52.4| -45.9|  527.9| 0.000|   0.0|  37.275|  34.563|191.24|   0.0|    0.0|    0.0|F2              |
|  1| 3.50|    0.0|  1|90.00|83.39|  36.984|  34.390|   25.244| -51.7| -45.2|  533.8| 0.000|   0.0|  37.277|  34.556|202.84|   0.0|    0.0|    0.0|F2              |
|  1| 4.00|    0.0|  1|90.00|83.32|  36.964|  34.380|   26.921| -51.5| -45.0|  554.8| 0.000|   0.0|  37.277|  34.553|213.79|   0.0|    0.0|    0.0|F2              |
|  1| 4.50|    0.0|  1|90.00|83.01|  36.928|  34.364|   29.838| -51.6| -45.1|  585.2| 0.000|   0.0|  37.274|  34.551|224.80|   0.0|    0.0|    0.0|F2              |
|  1| 4.60|    0.0|  1|90.00|82.92|  36.918|  34.360|   30.618| -51.6| -45.1|  592.7| 0.000|   0.0|  37.274|  34.551|227.09|   0.0|    0.0|    0.0|F2              |
|  1| 4.70|    0.0|  1|90.00|82.81|  36.906|  34.355|   31.487| -51.7| -45.2|  600.7| 0.000|   0.0|  37.273|  34.551|229.42|   0.0|    0.0|    0.0|F2              |
|  1| 4.80|    0.0|  1|90.00|82.68|  36.894|  34.350|   32.464| -51.7| -45.2|  609.5| 0.000|   0.0|  37.271|  34.551|231.82|   0.0|    0.0|    0.0|F2              |
+---+-----+-------+---+-----+-----+--------+--------+---------+------+------+-------+------+------+--------+--------+------+------+-------+-------+----------------+
+---+-----+-------+---+-----+-----+--------+--------+---------+------+------+-------+------+------+--------+--------+------+------+-------+-------+----------------+
|0-x| fr  |  time |hop| d0  | d1  |   fi   |  teta  |   dist  |  at  |  dev |   p   |  df  |  l   |   fot  |   tot  |  rot | lsp  |   pf  |    s  |                |
+---+-----+-------+---+-----+-----+--------+--------+---------+------+------+-------+------+------+--------+--------+------+------+-------+-------+----------------+
|  1| 4.90|    0.0|  1|90.00|82.54|  36.879|  34.344|   33.574| -51.8| -45.3|  619.1| 0.000|   0.0|  37.270|  34.551|234.29|   0.0|    0.0|    0.0|F2              |
|  1| 4.95|    0.0|  1|90.00|82.46|  36.871|  34.341|   34.189| -51.8| -45.3|  624.3| 0.000|   0.0|  37.269|  34.551|235.56|   0.0|    0.0|    0.0|F2              |
|  1| 7.50|    0.0|  1| 0.00| 0.00|   0.000|   0.000|    0.000|   0.0|   0.0|    0.0| 0.000|   0.0|   0.000|   0.000|  0.00|   0.0|    0.0|    0.0|                |
|  1| 8.00|    0.0|  1| 0.00| 0.00|   0.000|   0.000|    0.000|   0.0|   0.0|    0.0| 0.000|   0.0|   0.000|   0.000|  0.00|   0.0|    0.0|    0.0|                |
