
[strDate]   [strTime]   [Frq_rpu]    [Frq_meg]    [Band]  [E]   [S_N] [Att]  [B]     [A]    [S0]  [aIRI0]   [Lat0]  [Lon0]   [S1]  [aIRI1]  [Lat1]  [Lon1]   [S2]  [aIRI2]  [Lat2]  [Lon2] [Sigm] [Time_sec]  [Cource]  [BaseLat]  [BaseLon]  [TypeSignalName]  [DispApd]  [Dopler]  [Delay]
04.04.2019 03:00:03.318   4.99600000   4995.99978   0.11  -42.5   32.5  28.0 30.60  357.1     0.0  357.10    0.00    0.00     0.0  357.10    0.00    0.00     0.0  357.10    0.00    0.00    1.3     10803.318     13.50   47.24000   39.71000  "Undefined"       0.0       -0.22  0.00000000
04.04.2019 03:00:14.595   4.99600000   4995.99978   0.11  -47.1   35.9  28.0 31.80  357.1     0.0  357.13    0.00    0.00     0.0  357.13    0.00    0.00     0.0  357.13    0.00    0.00    1.6     10814.595     13.50   47.24000   39.71000  "Undefined"       0.0       -0.22  0.00000000
04.04.2019 03:00:30.878   4.99600000   4995.99979   0.11  -43.7   39.3  28.0 28.80  356.4     0.0  356.40    0.00    0.00     0.0  356.40    0.00    0.00     0.0  356.40    0.00    0.00    1.4     10830.878     13.50   47.24000   39.71000  "Undefined"       0.0       -0.21  0.00000000
04.04.2019 03:00:42.128   4.99600000   4995.99981   0.11  -48.4   34.6  28.0 18.00  355.0     0.0  354.97    0.00    0.00     0.0  354.97    0.00    0.00     0.0  354.97    0.00    0.00    1.8     10842.128     13.50   47.24000   39.71000  "Undefined"       0.0       -0.19  0.00000000
04.04.2019 03:00:53.039   4.99600000   4995.99975   0.11  -46.8   36.2  28.0 33.60  357.1     0.0  357.12    0.00    0.00     0.0  357.12    0.00    0.00     0.0  357.12    0.00    0.00    1.5     10853.039     13.50   47.24000   39.71000  "Undefined"       0.0       -0.25  0.00000000
04.04.2019 03:01:03.957   4.99600000   4995.99976   0.11  -43.1   39.9  28.0 31.80  357.1     0.0  357.13    0.00    0.00     0.0  357.13    0.00    0.00     0.0  357.13    0.00    0.00    1.3     10863.957     13.50   47.24000   39.71000  "Undefined"      -0.0       -0.24  0.00000000
04.04.2019 03:01:29.096   4.99600000   4995.99977   0.11  -47.4   37.6  28.0 28.80  355.7     0.0  355.68    0.00    0.00     0.0  355.68    0.00    0.00     0.0  355.68    0.00    0.00    1.8     10889.096     13.50   47.24000   39.71000  "Undefined"       0.0       -0.23  0.00000000
04.04.2019 03:01:40.006   4.99600000   4995.99975   0.11  -43.6   39.5  28.0 34.20  357.8     0.0  357.84    0.00    0.00     0.0  357.84    0.00    0.00     0.0  357.84    0.00    0.00    1.2     10900.006     13.50   47.24000   39.71000  "Undefined"       0.0       -0.25  0.00000000
04.04.2019 03:01:51.978   4.99600000   4995.99981   0.11  -49.2   33.8  28.0 46.80  357.8     0.0  357.84    0.00    0.00     0.0  357.84    0.00    0.00     0.0  357.84    0.00    0.00    2.0     10911.978     13.50   47.24000   39.71000  "Undefined"       0.0       -0.19  0.00000000
04.04.2019 03:02:02.541   4.99600000   4995.99975   0.11  -42.9   40.1  28.0 32.40  357.1     0.0  357.14    0.00    0.00     0.0  357.14    0.00    0.00     0.0  357.14    0.00    0.00    1.2     10922.541     13.50   47.24000   39.71000  "Undefined"       0.0       -0.25  0.00000000
