
[strDate]   [strTime]   [Frq_rpu]    [Frq_meg]    [Band]  [E]   [S_N] [Att]  [B]     [A]    [S0]  [aIRI0]   [Lat0]  [Lon0]   [S1]  [aIRI1]  [Lat1]  [Lon1]   [S2]  [aIRI2]  [Lat2]  [Lon2] [Sigm] [Time_sec]  [Cource]  [BaseLat]  [BaseLon]  [TypeSignalName]  [DispApd]  [Dopler]  [Delay]
04.04.2019 16:59:55.182   4.99600000   4995.80332   0.09  -85.7   14.2  28.0 33.00  354.2   702.9  354.68   53.40   38.83  1356.1  355.12   59.25   37.79  1999.3  355.57   65.01   36.58    1.8     61195.182     13.50   47.10740   39.80800  "Undefined"       0.0     -196.68  0.00000000
04.04.2019 16:59:55.182   4.99600000   4995.99994   0.31  -45.7   48.8  28.0 20.40  354.2   532.8  354.29   51.87   39.04  1067.7  354.36   56.65   38.10  1605.6  354.45   61.45   36.91    1.9     61195.182     13.50   47.10740   39.80800  "Undefined"       0.0       -0.06  0.00000000
04.04.2019 16:59:55.182   4.99600000   4995.99994   0.31  -45.7   48.8  28.0 40.20  349.2   530.5  349.62   51.79   38.42  1060.3  350.12   56.47   36.86  1602.8  350.70   61.26   35.01    1.5     61195.182     13.50   47.10740   39.80800  "Undefined"       0.0       -0.06  0.00000000
04.04.2019 17:00:08.120   4.99600000   4995.99983   0.27  -45.4   49.8  28.0 46.80  350.6   442.5  351.09   51.04   38.83   898.4  351.61   55.09   37.75  1377.7  352.20   59.35   36.53    1.8     61208.120     13.50   47.10740   39.80800  "Undefined"       0.0       -0.17  0.00000000
04.04.2019 17:00:37.262   4.99600000   4995.79103   0.15  -84.6   13.0  28.0 15.60  351.3   654.6  351.43   52.92   38.35  1309.6  351.53   58.72   36.49  1965.1  351.69   64.49   33.96    1.4     61237.262     13.50   47.10740   39.80800  "Undefined"       0.0     -208.97  0.00000000
04.04.2019 17:00:37.262   4.99600000   4995.99979   0.31  -44.3   50.2  28.0 12.60  351.4   769.8  351.44   53.94   38.06  1539.2  351.57   60.74   35.69  2308.4  351.78   67.50   32.19    1.5     61237.262     13.50   47.10740   39.80800  "Undefined"       0.0       -0.21  0.00000000
04.04.2019 17:00:37.262   4.99600000   4995.99979   0.31  -44.3   50.2  28.0 42.60  349.2   495.0  349.64   51.48   38.52   995.4  350.15   55.90   37.09  1513.1  350.74   60.47   35.40    1.5     61237.262     13.50   47.10740   39.80800  "Undefined"       0.0       -0.21  0.00000000
04.04.2019 17:00:51.253   4.99600000   4995.99986   0.46  -43.4   49.4  28.0 17.40  354.2   601.7  354.29   52.49   38.92  1204.9  354.36   57.88   37.81  1810.1  354.45   63.27   36.35    1.5     61251.253     13.50   47.10740   39.80800  "Undefined"       0.0       -0.14  0.00000000
04.04.2019 17:01:02.982   4.99600000   4995.99985   0.44  -42.5   50.5  28.0 24.60  352.8   474.4  352.87   51.34   38.96   954.0  352.97   55.61   37.96  1441.7  353.09   59.95   36.72    1.7     61262.982     13.50   47.10740   39.80800  "Undefined"       0.0       -0.15  0.00000000
04.04.2019 17:01:17.106   4.99600000   4995.99984   0.40  -41.6   51.8  28.0 46.80  351.4   442.6  351.80   51.04   38.91   898.8  352.31   55.11   37.92  1378.9  352.89   59.38   36.82    1.4     61277.106     13.50   47.10740   39.80800  "Undefined"       0.0       -0.16  0.00000000
04.04.2019 17:01:17.106   4.99600000   4995.99984   0.40  -41.6   51.8  28.0 21.00  353.5   521.5  353.56   51.77   38.96  1045.2  353.63   56.44   37.93  1572.0  353.73   61.13   36.64    1.2     61277.106     13.50   47.10740   39.80800  "Undefined"       0.0       -0.16  0.00000000
04.04.2019 17:01:31.104   4.99600000   4995.99985   0.62  -38.8   52.7  28.0 30.60  353.5   769.8  353.99   53.99   38.58  1472.3  354.45   60.27   37.25  2147.3  354.92   66.29   35.63    1.2     61291.104     13.50   47.10740   39.80800  "Undefined"       0.0       -0.15  0.00000000
04.04.2019 17:01:44.074   4.99600000   4995.80074   0.11  -84.4   10.6  28.0 28.80  352.1   830.9  352.59   54.51   38.15     0.0  352.07    0.00    0.00     0.0  352.07    0.00    0.00    1.5     61304.074     13.50   47.10740   39.80800  "Undefined"       0.0     -199.26  0.00000000
04.04.2019 17:01:44.074   4.99600000   4995.99981   0.31  -42.9   47.7  28.0 16.20  353.5   635.9  353.58   52.79   38.75  1272.5  353.66   58.46   37.41  1910.4  353.78   64.13   35.60    1.5     61304.074     13.50   47.10740   39.80800  "Undefined"       0.0       -0.19  0.00000000
04.04.2019 17:01:44.074   4.99600000   4995.99981   0.31  -42.9   47.7  28.0 44.40  347.8   471.1  348.20   51.25   38.42   950.6  348.72   55.46   36.87  1448.9  349.34   59.84   35.05    1.3     61304.074     13.50   47.10740   39.80800  "Undefined"       0.0       -0.19  0.00000000
04.04.2019 17:01:58.290   4.99600000   4995.99974   0.38  -49.4   43.5  28.0 43.20  348.5   486.7  348.92   51.40   38.46   979.9  349.44   55.74   36.95  1490.7  350.04   60.24   35.17    1.6     61318.290     13.50   47.10740   39.80800  "Undefined"      63.6       -0.26  0.00000000
04.04.2019 17:02:13.358   4.99600000   4995.99984   0.55  -43.7   47.0  28.0 15.60  353.5   654.9  353.58   52.96   38.72  1310.6  353.67   58.80   37.31  1967.7  353.79   64.64   35.40    1.2     61333.358     13.50   47.10740   39.80800  "Undefined"      63.7       -0.16  0.00000000
04.04.2019 17:02:25.315   4.99600000   4995.99973   0.40  -47.6   39.3  28.0 38.40  354.3   562.4  354.65   52.14   39.04  1118.7  355.09   57.12   38.23     0.0  354.25    0.00    0.00    1.4     61345.315     13.50   47.10740   39.80800  "Undefined"      64.2       -0.27  0.00000000
04.04.2019 17:02:37.159   4.99600000   4995.99988   0.46  -44.4   48.4  28.0 44.40  351.4   471.5  351.80   51.30   38.84   953.0  352.29   55.59   37.78  1455.8  352.86   60.06   36.57    1.5     61357.159     13.50   47.10740   39.80800  "Undefined"       0.0       -0.12  0.00000000
04.04.2019 17:02:37.159   4.99600000   4995.99988   0.46  -44.4   48.4  28.0 11.40  353.5   828.2  353.58   54.50   38.38  1656.4  353.69   61.88   36.37  2484.5  353.88   69.21   33.24    1.4     61357.159     13.50   47.10740   39.80800  "Undefined"       0.0       -0.12  0.00000000
04.04.2019 17:02:50.131   4.99600000   4995.99986   0.46  -44.4   46.4  28.0 18.00  352.1   585.9  352.17   52.32   38.63  1172.8  352.26   57.53   37.17  1761.3  352.38   62.74   35.28    1.3     61370.131     13.50   47.10740   39.80800  "Undefined"       0.0       -0.14  0.00000000
