
[strDate]   [strTime]   [Frq_rpu]    [Frq_meg]    [Band]  [E]   [S_N] [Att]  [B]     [A]    [S0]  [aIRI0]   [Lat0]  [Lon0]   [S1]  [aIRI1]  [Lat1]  [Lon1]   [S2]  [aIRI2]  [Lat2]  [Lon2] [Sigm] [Time_sec]  [Cource]  [BaseLat]  [BaseLon]  [TypeSignalName]  [DispApd]  [Dopler]  [Delay]
03.04.2019 16:50:56.686   9.99600000   9996.00012   0.40  -54.2   39.2  28.0 10.80  354.2  1877.3  354.77   64.02   36.24  3873.0  356.32   81.75   24.92     0.0  354.23    0.00    0.00    1.3     60656.686     13.50   47.24000   39.71000  "Undefined"       0.0        0.12  0.00000000
03.04.2019 16:55:00.063   9.99600000   9995.99979   0.24  -75.3   12.3  28.0 10.80  354.2  1877.5  354.78   64.02   36.25  3873.7  356.33   81.76   24.93     0.0  354.24    0.00    0.00    1.5     60900.063     13.50   47.24000   39.71000  "Undefined"       0.0       -0.21  0.00000000
03.04.2019 16:59:11.452   9.99600000   9995.99996   0.40  -48.2   43.2  28.0  7.80  358.6  1246.5  358.61   58.45   39.19  3753.3  359.05   80.98   36.33     0.0  358.56    0.00    0.00    1.9     61151.452     13.50   47.24000   39.71000  "Undefined"       0.0       -0.04  0.00000000
03.04.2019 17:04:47.450   9.99600000   9995.99978   0.24  -46.6   50.9  28.0 10.80  354.2  1877.6  354.77   64.02   36.24  3873.9  356.33   81.76   24.91     0.0  354.23    0.00    0.00    1.4     61487.450     13.50   47.24000   39.71000  "Undefined"       0.0       -0.22  0.00000000
03.04.2019 17:06:48.129   9.99600000   9995.99981   0.20  -50.1   46.3  28.0 10.20  354.2  1971.2  354.80   64.85   35.98     0.0  354.21    0.00    0.00     0.0  354.21    0.00    0.00    1.4     61608.129     13.50   47.24000   39.71000  "Undefined"       0.0       -0.19  0.00000000
03.04.2019 18:01:20.516   9.99600000   9995.99974   0.22  -50.9   45.1  28.0 10.20  354.2  1934.3  354.83   64.53   36.12     0.0  354.21    0.00    0.00     0.0  354.21    0.00    0.00    1.6     64880.516     13.50   47.24000   39.71000  "Undefined"       0.0       -0.26  0.00000000
03.04.2019 18:07:33.335   9.99600000   9995.99979   0.11  -58.7   38.3  28.0  8.40  354.2  2139.6  354.94   66.36   35.56     0.0  354.23    0.00    0.00     0.0  354.23    0.00    0.00    1.6     65253.335     13.50   47.24000   39.71000  "Undefined"       0.0       -0.21  0.00000000
03.04.2019 18:18:04.951   9.99600000   9995.99868   0.13  -75.4   16.9  28.0 11.40  355.0  1847.6  355.56   63.78   36.84     0.0  354.98    0.00    0.00     0.0  354.98    0.00    0.00    1.5     65884.951     13.50   47.24000   39.71000  "Undefined"       0.0       -1.32  0.00000000
03.04.2019 18:21:22.966   9.99600000   9995.99951   0.40  -71.3   20.2  28.0 10.80  354.2  1915.0  354.86   64.36   36.19     0.0  354.19    0.00    0.00     0.0  354.19    0.00    0.00    1.5     66082.966     13.50   47.24000   39.71000  "Undefined"       0.0       -0.49  0.00000000
03.04.2019 19:01:12.048   9.99600000   9995.99966   0.11  -69.0   24.0  28.0 14.40  354.2  1770.3  354.93   63.07   36.64     0.0  354.23    0.00    0.00     0.0  354.23    0.00    0.00    2.0     68472.048     13.50   47.24000   39.71000  "Undefined"       0.0       -0.34  0.00000000
03.04.2019 19:01:33.236   9.99600000   9995.99959   0.11  -68.5   24.5  28.0 12.00  354.3  1898.6  355.00   64.22   36.34     0.0  354.29    0.00    0.00     0.0  354.29    0.00    0.00    1.6     68493.236     13.50   47.24000   39.71000  "Undefined"       0.0       -0.41  0.00000000
03.04.2019 19:01:54.943   9.99600000   9995.99983   0.11  -69.0   24.0  28.0 12.60  354.2  1861.8  354.94   63.89   36.40     0.0  354.23    0.00    0.00     0.0  354.23    0.00    0.00    1.7     68514.943     13.50   47.24000   39.71000  "Undefined"       0.0       -0.17  0.00000000
03.04.2019 19:02:16.096   9.99600000   9995.99969   0.11  -66.9   26.1  28.0 10.20  357.1  2047.6  357.61   65.63   37.88     0.0  357.08    0.00    0.00     0.0  357.08    0.00    0.00    1.7     68536.096     13.50   47.24000   39.71000  "Undefined"       0.0       -0.31  0.00000000
03.04.2019 19:03:32.404   9.99600000   9995.99968   0.11  -69.9   23.1  28.0 10.80  354.3  1981.0  354.98   64.95   36.08     0.0  354.25    0.00    0.00     0.0  354.25    0.00    0.00    1.7     68612.404     13.50   47.24000   39.71000  "Undefined"       0.0       -0.32  0.00000000
03.04.2019 19:04:26.408   9.99600000   9995.99979   0.11  -67.4   25.6  28.0 11.40  357.8     0.0  357.81    0.00    0.00     0.0  357.81    0.00    0.00     0.0  357.81    0.00    0.00    1.7     68666.408     13.50   47.24000   39.71000  "Undefined"       0.0       -0.21  0.00000000
03.04.2019 19:07:02.035   9.99600000   9995.99974   0.11  -65.6   27.4  28.0 12.00  357.1  1968.8  357.63   64.93   38.01     0.0  357.10    0.00    0.00     0.0  357.10    0.00    0.00    1.7     68822.035     13.50   47.24000   39.71000  "Undefined"       0.0       -0.26  0.00000000
03.04.2019 19:07:12.616   9.99600000   9995.99954   0.11  -66.4   26.6  28.0 12.00  357.1  1968.8  357.63   64.92   38.01     0.0  357.09    0.00    0.00     0.0  357.09    0.00    0.00    1.7     68832.616     13.50   47.24000   39.71000  "Undefined"       0.0       -0.46  0.00000000
03.04.2019 19:09:30.885   9.99600000   9995.99957   0.11  -71.9   21.1  28.0 12.60  356.4  1927.5  356.96   64.54   37.61     0.0  356.38    0.00    0.00     0.0  356.38    0.00    0.00    1.8     68970.885     13.50   47.24000   39.71000  "Undefined"       0.0       -0.43  0.00000000
03.04.2019 20:37:35.063   9.99600000   9995.99989   0.11  -63.9   29.2  28.0  7.80  354.2  2836.1  355.43   72.57   33.13     0.0  354.24    0.00    0.00     0.0  354.24    0.00    0.00    1.5     74255.063     13.50   47.24000   39.71000  "Undefined"       0.0       -0.11  0.00000000
03.04.2019 20:38:59.021   9.99600000   9996.00012   0.33  -59.6   14.7  28.0  8.40  354.2  2782.8  355.35   72.09   33.31     0.0  354.18    0.00    0.00     0.0  354.18    0.00    0.00    1.5     74339.021     13.50   47.24000   39.71000  "Undefined"       0.0        0.12  0.00000000
03.04.2019 20:39:09.948   9.99600000   9996.00001   0.27  -61.4   27.8  28.0  7.80  354.2  2834.0  355.37   72.55   33.06     0.0  354.17    0.00    0.00     0.0  354.17    0.00    0.00    1.5     74349.948     13.50   47.24000   39.71000  "Undefined"       0.0        0.01  0.00000000
03.04.2019 20:39:32.135   9.99600000   9995.99994   0.29  -66.1   22.7  28.0  7.80  354.2  2835.4  355.42   72.56   33.11     0.0  354.23    0.00    0.00     0.0  354.23    0.00    0.00    1.5     74372.135     13.50   47.24000   39.71000  "Undefined"       0.0       -0.06  0.00000000
03.04.2019 20:47:32.126   9.99600000   9995.99957   0.11  -72.8   22.2  28.0  9.60  354.9  2723.5  355.98   71.61   34.42     0.0  354.91    0.00    0.00     0.0  354.91    0.00    0.00    1.6     74852.126     13.50   47.24000   39.71000  "Undefined"       0.0       -0.43  0.00000000
03.04.2019 20:47:45.256   9.99600000   9995.99951   0.40  -64.7   24.8  28.0  9.60  355.0  2724.2  356.02   71.62   34.47     0.0  354.96    0.00    0.00     0.0  354.96    0.00    0.00    1.4     74865.256     13.50   47.24000   39.71000  "Undefined"       0.0       -0.49  0.00000000
03.04.2019 20:48:07.103   9.99600000   9996.00040   0.24  -71.6   20.0  28.0  6.00  355.0  3064.7  356.16   74.65   32.98     0.0  354.96    0.00    0.00     0.0  354.96    0.00    0.00    1.7     74887.103     13.50   47.24000   39.71000  "Undefined"       0.0        0.40  0.00000000
