
[strDate]   [strTime]   [Frq_rpu]    [Frq_meg]    [Band]  [E]   [S_N] [Att]  [B]     [A]    [S0]  [aIRI0]   [Lat0]  [Lon0]   [S1]  [aIRI1]  [Lat1]  [Lon1]   [S2]  [aIRI2]  [Lat2]  [Lon2] [Sigm] [Time_sec]  [Cource]  [BaseLat]  [BaseLon]  [TypeSignalName]  [DispApd]  [Dopler]  [Delay]
04.04.2019 09:59:54.710   9.99600000   9995.99981   0.40  -39.6   55.9  28.0 13.20  353.5  1164.7  353.67   57.64   37.56  2269.6  353.96   67.46   34.21     0.0  353.52    0.00    0.00    1.4     35994.710     13.50   47.24000   39.71000  "Undefined"       0.0       -0.19  0.00000000
04.04.2019 10:00:08.554   9.99600000   9995.99980   0.40  -37.1   60.4  28.0 13.20  353.5  1164.9  353.69   57.64   37.57  2269.8  353.97   67.46   34.22     0.0  353.53    0.00    0.00    1.4     36008.554     13.50   47.24000   39.71000  "Undefined"       0.0       -0.20  0.00000000
04.04.2019 10:00:20.202   9.99600000   9995.99980   0.40  -35.1   60.4  28.0 13.20  353.5  1164.2  353.64   57.63   37.56  2269.2  353.93   67.45   34.19     0.0  353.49    0.00    0.00    1.4     36020.202     13.50   47.24000   39.71000  "Undefined"       0.0       -0.20  0.00000000
04.04.2019 10:00:31.871   9.99600000   9995.99980   0.40  -34.1   63.3  28.0 13.20  353.5  1165.1  353.64   57.64   37.55  2270.1  353.93   67.46   34.18     0.0  353.48    0.00    0.00    1.4     36031.871     13.50   47.24000   39.71000  "Undefined"       0.0       -0.20  0.00000000
04.04.2019 10:00:43.561   9.99600000   9995.99981   0.40  -34.6   60.8  28.0 12.60  352.9  1119.9  353.02   57.22   37.46     0.0  352.86    0.00    0.00     0.0  352.86    0.00    0.00    1.4     36043.561     13.50   47.24000   39.71000  "Undefined"       0.0       -0.19  0.00000000
04.04.2019 10:00:56.315   9.99600000   9995.99981   0.40  -38.3   57.1  28.0 12.60  353.5  1115.5  353.61   57.20   37.66  2254.6  353.89   67.32   34.22     0.0  353.47    0.00    0.00    1.4     36056.315     13.50   47.24000   39.71000  "Undefined"       0.0       -0.19  0.00000000
04.04.2019 10:01:06.891   9.99600000   9995.99979   0.27  -45.5   51.7  28.0  7.80  352.9  1159.7  352.99   57.57   37.35  2354.2  353.25   68.15   33.16  3655.7  354.03   79.47   21.70    1.5     36066.891     13.50   47.24000   39.71000  "Undefined"       0.0       -0.21  0.00000000
04.04.2019 10:01:18.531   9.99600000   9995.99981   0.40  -37.1   58.3  28.0 12.00  352.8   979.0  352.94   55.96   37.78     0.0  352.82    0.00    0.00     0.0  352.82    0.00    0.00    1.4     36078.531     13.50   47.24000   39.71000  "Undefined"       0.0       -0.19  0.00000000
04.04.2019 10:01:29.122   9.99600000   9995.99982   0.40  -35.1   60.3  28.0 12.00  353.5   978.6  353.55   55.97   37.95  2223.2  353.86   67.04   34.33     0.0  353.45    0.00    0.00    1.4     36089.122     13.50   47.24000   39.71000  "Undefined"       0.0       -0.18  0.00000000
04.04.2019 10:01:39.687   9.99600000   9995.99982   0.40  -41.1   56.3  28.0  9.60  353.5  1042.1  353.56   56.54   37.81  2134.0  353.77   66.25   34.62  3639.2  354.72   79.47   23.91    1.5     36099.687     13.50   47.24000   39.71000  "Undefined"       0.0       -0.18  0.00000000
