
 4.000     2      n      n   7.26   6.68
 4.500     2      n      n   8.50   7.92
 5.000     2      n      n   9.45   8.97
 5.500     2  13.94  13.37  10.22   9.74
 6.000     2  15.47  14.99  10.88  10.31
 6.500     2  16.80  16.23  11.46  10.88
 7.000     2  17.76  17.28  11.93  11.36
 7.500     2  18.52  18.04  12.32  11.74
 8.000     2  19.09  18.62  12.51  12.03
 8.500     2  19.48  18.90  12.70  12.22
 9.000     2  19.67  19.09  12.89  12.32
 9.500     2  19.67  19.19  12.89  12.32
10.000     2  19.67  19.09  12.89  12.32
10.500     2  19.57  19.09  12.79  12.22
11.000     2  19.57  19.00  12.60  12.13
11.500     2  19.57  19.09  12.51  11.93
12.000     2  19.57  19.09  12.51  11.93
12.500     2  19.67  19.09  12.51  12.03
13.000     2  19.57  19.09  12.51  11.93
13.500     2  19.48  18.90  12.41  11.84
14.000     2  19.09  18.62  12.22  11.65
14.500     2  18.52  17.95  11.84  11.27
15.000     2  17.66  17.09  11.27  10.55
15.500     2  16.52  15.94  10.60  10.02
16.000     2  15.18  14.70   9.83   9.26
16.500     2  13.84  13.27   8.97   8.40
17.000     2  12.41  11.93   8.12   7.54
17.500     2  11.17  10.60   7.26   6.68
18.000     2   9.93   9.36   6.59   6.01
18.500     2   8.88   8.31   5.92   5.35
19.000     2   8.02   7.45   5.35   4.77
