
delt0=    0.01  eps=   1e-07  ep=   1e-05  ep1=   0.001
ισθοδξαρ τοώλα: fi0=  46.080  teta0=  33.870  year=2015
+==================================================================+
|    Transmitter   |     Reciever     | Path length | Path azimuth |
|==================+==================|    129.90   |    -95.524   |
|Longitude:  46.080|Longitude:  44.000|-------------+--------------|
|Latitude :  56.130|Latitude :  56.000| Month:  2.3 |   W     IG   |
|Power    : 1.0e+00|Passband :   1.000|   February  |  80.0  130.0 |
+==================================================================+

+======================================+
|Initial step: 0.010                   |
|Local accuracy: 0.0000001             |
|Range accuracy:  0.0100               |
|Range limits:   30.00                 |
|Elevation angle step: 0.15            |
|Azimuth   angle step: 1.00            |
+======================================+

Geomagnetic Field - const
fh= 1.50  i=  72.0  d=  10.6
Number TID: 1
Tid Parametres
  delt   lamb     t     b      a     fi
0.100   100.0 900.0 -45.0  125.0   0.000
Chapmen many-layers Ionospher model
Ionospher Begin Higth: 60.0
Number Layers: 2
Geometric Layer Parametres
  hm     ym     f0     al
110.0    5.0   2.00   1.00
265.0   50.0  10.80   1.00
Local Gradient  gx=0.00  gy=0.00

Number diff. equation: 8

+=================================================================================================++===============+
|            Ray characteristics                       GMT time:10:30:00.00                       ||  Polarization |
|-------------------------------------------------------------------------------------------------||---------------|
|  F   | |  d1  |  d2  |  T   |   Df  |  DEV  |  L   |  Ls  |  E   | Les |          Moda          ||  a/b |   psi  |
| 4.000|o| 70.47| 74.53| 1.453| -0.146| -4.957|   1.2|  52.7|  50.9|  0.0|F2                      || 0.971| -53.596|
| 4.000|x| 69.47| 72.21| 1.466| -0.067| -3.394|   4.0|  51.4|  49.4|  0.0|F2                      ||-0.967|  40.647|
| 4.100|o| 70.49| 74.62| 1.458| -0.151| -5.043|   1.2|  52.8|  50.8|  0.0|F2                      || 0.972| -53.768|
| 4.100|x| 69.45| 72.37| 1.468| -0.073| -3.578|   3.7|  51.5|  49.6|  0.0|F2                      ||-0.968|  40.372|
| 4.200|o| 70.52| 74.71| 1.464| -0.155| -5.124|   1.2|  52.9|  50.7|  0.0|F2                      || 0.972| -53.934|
| 4.200|x| 69.43| 72.52| 1.470| -0.078| -3.748|   3.5|  51.6|  49.8|  0.0|F2                      ||-0.969|  40.110|
| 4.300|o| 70.55| 74.79| 1.469| -0.160| -5.200|   1.2|  53.0|  50.7|  0.0|F2                      || 0.973| -54.097|
| 4.300|x| 69.43| 72.66| 1.472| -0.084| -3.906|   3.3|  51.7|  49.9|  0.0|F2                      ||-0.970|  39.858|
| 4.400|o| 70.58| 74.87| 1.475| -0.164| -5.272|   1.2|  53.0|  50.6|  0.0|F2                      || 0.974| -54.258|
| 4.400|x| 69.43| 72.80| 1.475| -0.089| -4.053|   3.1|  51.8|  50.0|  0.0|F2                      ||-0.971|  39.617|
| 4.500|o| 70.61| 74.95| 1.480| -0.169| -5.339|   1.2|  53.1|  50.5|  0.0|F2                      || 0.975| -54.415|
| 4.500|x| 69.43| 72.93| 1.478| -0.094| -4.191|   2.9|  51.9|  50.0|  0.0|F2                      ||-0.972|  39.385|
| 4.600|o| 70.65| 75.03| 1.485| -0.173| -5.402|   1.1|  53.2|  50.4|  0.0|F2                      || 0.975| -54.570|
| 4.600|x| 69.44| 73.06| 1.482| -0.099| -4.319|   2.8|  52.0|  50.1|  0.0|F2                      ||-0.972|  39.162|
| 4.700|o| 70.69| 75.10| 1.491| -0.177| -5.461|   1.1|  53.3|  50.4|  0.0|F2                      || 0.976| -54.721|
| 4.700|x| 69.45| 73.18| 1.485| -0.104| -4.439|   2.6|  52.1|  50.1|  0.0|F2                      ||-0.973|  38.947|
| 4.800|o| 70.73| 75.18| 1.496| -0.181| -5.517|   1.1|  53.4|  50.3|  0.0|F2                      || 0.976| -54.870|
| 4.800|x| 69.47| 73.29| 1.489| -0.109| -4.551|   2.5|  52.1|  50.1|  0.0|F2                      ||-0.974|  38.739|
| 4.900|o| 70.77| 75.25| 1.502| -0.185| -5.568|   1.1|  53.5|  50.2|  0.0|F2                      || 0.977| -55.016|
| 4.900|x| 69.49| 73.40| 1.493| -0.114| -4.657|   2.4|  52.2|  50.1|  0.0|F2                      ||-0.975|  38.537|
| 5.000|o| 70.82| 75.32| 1.507| -0.189| -5.616|   1.1|  53.6|  50.1|  0.0|F2                      || 0.978| -55.160|
| 5.000|x| 69.51| 73.51| 1.497| -0.118| -4.755|   2.3|  52.3|  50.1|  0.0|F2                      ||-0.975|  38.342|
| 5.100|o| 70.87| 75.39| 1.513| -0.192| -5.660|   1.1|  53.6|  50.1|  0.0|F2                      || 0.978| -55.301|
| 5.100|x| 69.53| 73.61| 1.501| -0.123| -4.848|   2.2|  52.4|  50.1|  0.0|F2                      ||-0.976|  38.153|
| 5.200|o| 70.92| 75.46| 1.518| -0.196| -5.701|   1.1|  53.7|  50.0|  0.0|F2                      || 0.979| -55.439|
| 5.200|x| 69.56| 73.71| 1.506| -0.127| -4.934|   2.2|  52.5|  50.1|  0.0|F2                      ||-0.976|  37.969|
| 5.300|o| 70.97| 75.53| 1.524| -0.199| -5.738|   1.1|  53.8|  49.9|  0.0|F2                      || 0.979| -55.575|
| 5.300|x| 69.59| 73.81| 1.510| -0.132| -5.016|   2.1|  52.6|  50.1|  0.0|F2                      ||-0.977|  37.791|
| 5.400|o| 71.02| 75.59| 1.530| -0.202| -5.772|   1.1|  53.9|  49.8|  0.0|F2                      || 0.979| -55.709|
| 5.400|x| 69.62| 73.90| 1.515| -0.136| -5.092|   2.0|  52.7|  50.1|  0.0|F2                      ||-0.978|  37.618|
| 5.500|o| 71.08| 75.66| 1.536| -0.205| -5.804|   1.1|  54.0|  49.7|  0.0|F2                      || 0.980| -55.841|
| 5.500|x| 69.66| 73.99| 1.519| -0.140| -5.164|   2.0|  52.8|  50.0|  0.0|F2                      ||-0.978|  37.449|
| 5.600|o| 71.14| 75.72| 1.541| -0.208| -5.832|   1.1|  54.1|  49.7|  0.0|F2                      || 0.980| -55.971|
| 5.600|x| 69.70| 74.07| 1.524| -0.144| -5.231|   1.9|  52.9|  50.0|  0.0|F2                      ||-0.979|  37.284|
| 5.700|o| 71.20| 75.78| 1.547| -0.211| -5.857|   1.1|  54.2|  49.6|  0.0|F2                      || 0.981| -56.098|
| 5.700|x| 69.74| 74.16| 1.529| -0.149| -5.293|   1.9|  53.0|  50.0|  0.0|F2                      ||-0.979|  37.124|
| 5.800|o| 71.26| 75.84| 1.553| -0.214| -5.879|   1.1|  54.2|  49.5|  0.0|F2                      || 0.981| -56.224|
| 5.800|x| 69.78| 74.24| 1.534| -0.152| -5.352|   1.8|  53.0|  49.9|  0.0|F2                      ||-0.979|  36.968|
| 5.900|o| 71.32| 75.90| 1.559| -0.216| -5.898|   1.1|  54.3|  49.4|  0.0|F2                      || 0.981| -56.348|
| 5.900|x| 69.82| 74.32| 1.538| -0.156| -5.407|   1.8|  53.1|  49.9|  0.0|F2                      ||-0.980|  36.815|
| 6.000|o| 71.39| 75.96| 1.565| -0.219| -5.914|   1.1|  54.4|  49.3|  0.0|F2                      || 0.982| -56.469|
| 6.000|x| 69.87| 74.40| 1.543| -0.160| -5.457|   1.8|  53.2|  49.8|  0.0|F2                      ||-0.980|  36.666|
| 6.100|o| 71.45| 76.02| 1.571| -0.221| -5.927|   1.1|  54.5|  49.2|  0.0|F2                      || 0.982| -56.590|
| 6.100|x| 69.91| 74.47| 1.549| -0.164| -5.504|   1.7|  53.3|  49.8|  0.0|F2                      ||-0.981|  36.521|
| 6.200|o| 71.52| 76.07| 1.577| -0.223| -5.937|   1.1|  54.6|  49.1|  0.0|F2                      || 0.983| -56.708|
| 6.200|x| 69.96| 74.55| 1.554| -0.167| -5.548|   1.7|  53.4|  49.7|  0.0|F2                      ||-0.981|  36.378|
| 6.300|o| 71.59| 76.13| 1.584| -0.225| -5.944|   1.1|  54.7|  49.1|  0.0|F2                      || 0.983| -56.825|
| 6.300|x| 70.01| 74.62| 1.559| -0.170| -5.588|   1.7|  53.5|  49.6|  0.0|F2                      ||-0.981|  36.239|
| 6.400|o| 71.67| 76.18| 1.590| -0.226| -5.949|   1.1|  54.8|  49.0|  0.0|F2                      || 0.983| -56.941|
