
delt0=    0.01  eps=   1e-07  ep=   1e-05  ep1=   0.001
ισθοδξαρ τοώλα: fi0=  46.080  teta0=  33.870  year=2015
+==================================================================+
|    Transmitter   |     Reciever     | Path length | Path azimuth |
|==================+==================|    129.90   |    -95.524   |
|Longitude:  46.080|Longitude:  44.000|-------------+--------------|
|Latitude :  56.130|Latitude :  56.000| Month:  2.3 |   W     IG   |
|Power    : 1.0e+00|Passband :   1.000|   February  |  80.0  130.0 |
+==================================================================+

+======================================+
|Initial step: 0.010                   |
|Local accuracy: 0.0000001             |
|Range accuracy:  0.0100               |
|Range limits:   30.00                 |
|Elevation angle step: 0.15            |
|Azimuth   angle step: 1.00            |
+======================================+

Geomagnetic Field - const
fh= 1.50  i=  72.0  d=  10.6
Number TID: 1
Tid Parametres
  delt   lamb     t     b      a     fi
0.100   100.0 900.0 -45.0   45.0   0.000
Chapmen many-layers Ionospher model
Ionospher Begin Higth: 60.0
Number Layers: 2
Geometric Layer Parametres
  hm     ym     f0     al
110.0    5.0   2.00   1.00
265.0   50.0  10.80   1.00
Local Gradient  gx=0.00  gy=0.00

Number diff. equation: 8

+=================================================================================================++===============+
|            Ray characteristics                       GMT time:10:30:00.00                       ||  Polarization |
|-------------------------------------------------------------------------------------------------||---------------|
|  F   | |  d1  |  d2  |  T   |   Df  |  DEV  |  L   |  Ls  |  E   | Les |          Moda          ||  a/b |   psi  |
| 4.000|o| 70.38| 74.69| 1.453| -0.147|  5.061|   1.2|  52.7|  50.8|  0.0|F2                      || 0.971| -53.896|
| 4.000|x| 69.31| 72.34| 1.465| -0.068|  3.336|   4.0|  51.6|  49.2|  0.0|F2                      ||-0.967|  40.426|
| 4.100|o| 70.40| 74.78| 1.458| -0.152|  5.137|   1.2|  52.8|  50.8|  0.0|F2                      || 0.972| -54.068|
| 4.100|x| 69.30| 72.49| 1.466| -0.074|  3.498|   3.7|  51.7|  49.4|  0.0|F2                      ||-0.968|  40.165|
| 4.200|o| 70.43| 74.86| 1.463| -0.156|  5.209|   1.2|  52.9|  50.7|  0.0|F2                      || 0.973| -54.236|
| 4.200|x| 69.30| 72.63| 1.468| -0.078|  3.648|   3.5|  51.8|  49.6|  0.0|F2                      ||-0.969|  39.915|
| 4.300|o| 70.46| 74.94| 1.469| -0.161|  5.276|   1.2|  53.0|  50.6|  0.0|F2                      || 0.973| -54.401|
| 4.300|x| 69.30| 72.77| 1.471| -0.083|  3.786|   3.3|  51.9|  49.7|  0.0|F2                      ||-0.970|  39.677|
| 4.400|o| 70.49| 75.02| 1.474| -0.165|  5.339|   1.2|  53.1|  50.6|  0.0|F2                      || 0.974| -54.561|
| 4.400|x| 69.31| 72.90| 1.474| -0.088|  3.914|   3.1|  51.9|  49.8|  0.0|F2                      ||-0.971|  39.447|
