
delt0=    0.01  eps=   1e-07  ep=   1e-05  ep1=   0.001
ισθοδξαρ τοώλα: fi0=  46.080  teta0=  33.870  year=2015
+==================================================================+
|    Transmitter   |     Reciever     | Path length | Path azimuth |
|==================+==================|    129.90   |    -95.524   |
|Longitude:  46.080|Longitude:  44.000|-------------+--------------|
|Latitude :  56.130|Latitude :  56.000| Month:  2.3 |   W     IG   |
|Power    : 1.0e+00|Passband :   1.000|   February  |  80.0  130.0 |
+==================================================================+

+======================================+
|Initial step: 0.010                   |
|Local accuracy: 0.0000001             |
|Range accuracy:  0.0100               |
|Range limits:   30.00                 |
|Elevation angle step: 0.15            |
|Azimuth   angle step: 1.00            |
+======================================+

Geomagnetic Field - const
fh= 1.50  i=  72.0  d=  10.6
Number TID: 1
Tid Parametres
  delt   lamb     t     b      a     fi
0.200   100.0 900.0 -45.0   82.8   0.000
Chapmen many-layers Ionospher model
Ionospher Begin Higth: 60.0
Number Layers: 2
Geometric Layer Parametres
  hm     ym     f0     al
110.0    5.0   2.00   1.00
265.0   50.0  10.80   1.00
Local Gradient  gx=0.00  gy=0.00

Number diff. equation: 8

+=================================================================================================++===============+
|            Ray characteristics                       GMT time:10:30:00.00                       ||  Polarization |
|-------------------------------------------------------------------------------------------------||---------------|
|  F   | |  d1  |  d2  |  T   |   Df  |  DEV  |  L   |  Ls  |  E   | Les |          Moda          ||  a/b |   psi  |
| 4.000|o| 68.95| 76.12| 1.437| -0.153|  0.338|   1.2|  54.5|  49.1|  0.0|F2                      || 0.973| -56.819|
| 4.000|x| 67.66| 74.49| 1.447| -0.091|  0.152|   3.8|  53.2|  47.8|  0.0|F2                      ||-0.971|  36.481|
| 4.100|o| 69.02| 76.15| 1.442| -0.155|  0.336|   1.2|  54.6|  49.1|  0.0|F2                      || 0.974| -56.872|
| 4.100|x| 67.67| 74.58| 1.448| -0.095|  0.164|   3.5|  53.3|  47.9|  0.0|F2                      ||-0.972|  36.323|
| 4.200|o| 69.09| 76.17| 1.447| -0.157|  0.333|   1.2|  54.6|  49.0|  0.0|F2                      || 0.974| -56.924|
| 4.200|x| 67.69| 74.65| 1.450| -0.098|  0.174|   3.3|  53.4|  48.1|  0.0|F2                      ||-0.972|  36.178|
| 4.300|o| 69.16| 76.20| 1.452| -0.158|  0.332|   1.1|  54.7|  48.9|  0.0|F2                      || 0.975| -56.972|
| 4.300|x| 67.72| 74.72| 1.453| -0.101|  0.182|   3.1|  53.5|  48.2|  0.0|F2                      ||-0.973|  36.044|
| 4.400|o| 69.24| 76.22| 1.458| -0.160|  0.330|   1.1|  54.8|  48.9|  0.0|F2                      || 0.976| -57.018|
| 4.400|x| 67.76| 74.78| 1.456| -0.104|  0.189|   2.9|  53.6|  48.3|  0.0|F2                      ||-0.974|  35.920|
| 4.500|o| 69.32| 76.24| 1.463| -0.161|  0.328|   1.1|  54.9|  48.8|  0.0|F2                      || 0.976| -57.061|
| 4.500|x| 67.80| 74.84| 1.459| -0.107|  0.196|   2.8|  53.7|  48.3|  0.0|F2                      ||-0.974|  35.804|
| 4.600|o| 69.40| 76.26| 1.468| -0.162|  0.326|   1.1|  55.0|  48.7|  0.0|F2                      || 0.977| -57.101|
| 4.600|x| 67.85| 74.89| 1.462| -0.110|  0.201|   2.6|  53.8|  48.4|  0.0|F2                      ||-0.975|  35.696|
| 4.700|o| 69.49| 76.27| 1.473| -0.163|  0.325|   1.1|  55.0|  48.7|  0.0|F2                      || 0.977| -57.139|
| 4.700|x| 67.90| 74.95| 1.466| -0.112|  0.206|   2.5|  53.9|  48.4|  0.0|F2                      ||-0.976|  35.596|
| 4.800|o| 69.57| 76.29| 1.479| -0.164|  0.324|   1.1|  55.1|  48.6|  0.0|F2                      || 0.978| -57.173|
| 4.800|x| 67.96| 74.99| 1.470| -0.114|  0.210|   2.4|  54.0|  48.4|  0.0|F2                      ||-0.976|  35.502|
| 4.900|o| 69.66| 76.31| 1.484| -0.164|  0.322|   1.1|  55.2|  48.5|  0.0|F2                      || 0.978| -57.206|
| 4.900|x| 68.02| 75.04| 1.474| -0.117|  0.213|   2.3|  54.1|  48.4|  0.0|F2                      ||-0.977|  35.415|
| 5.000|o| 69.75| 76.32| 1.490| -0.165|  0.321|   1.1|  55.3|  48.4|  0.0|F2                      || 0.979| -57.236|
| 5.000|x| 68.09| 75.08| 1.478| -0.118|  0.214|   2.2|  54.1|  48.4|  0.0|F2                      ||-0.977|  35.336|
| 5.100|o| 69.84| 76.33| 1.495| -0.165|  0.319|   1.1|  55.4|  48.4|  0.0|F2                      || 0.979| -57.263|
| 5.100|x| 68.16| 75.12| 1.482| -0.120|  0.218|   2.2|  54.2|  48.4|  0.0|F2                      ||-0.978|  35.256|
| 5.200|o| 69.94| 76.34| 1.500| -0.165|  0.318|   1.0|  55.5|  48.3|  0.0|F2                      || 0.979| -57.288|
