 1178.6 354.34  22.31 F2              
 1212.7 353.67  20.69 F2              
 1210.8 355.06  20.69 F2              
 1228.2 350.87  20.10 F2              
 1225.4 352.26  20.11 F2              
 1177.9 352.92  22.30 F2              
 1163.9 351.41   7.68 E               
 1049.6 352.81   9.46 E               
 1051.9 353.53  11.73 E               
  999.6 352.82  11.21 E               
 1056.2 353.53  11.73 E               
 1050.1 352.81   9.46 E               
 1050.2 352.81   9.46 E               
 1004.5 352.82  10.64 E               
 1050.8 353.61   9.46 E               
 1002.4 353.52  11.21 E               
 1050.9 353.51   9.46 E               
 1050.9 352.91   9.46 E               
 1005.6 352.82  10.64 E               
 1122.6 353.51   8.27 E               
 1194.9 351.50  21.21 F2              
 1122.6 353.51   8.27 E               
 1070.3 352.83  11.72 E               
 1007.1 352.82  10.64 E               
 1089.3 353.54  11.70 E               
 1008.2 353.52  11.20 E               
 1166.3 352.81   7.68 E               
 1085.5 352.91   8.87 E               
 1053.3 353.52   9.46 E               
 1215.0 346.37  20.00 F2              
 1177.6 354.26  21.77 F2              
 1232.6 352.85  19.46 F2              
 1017.4 353.53  11.20 E               
 1268.4 352.91   6.49 E               
 1030.0 353.52  10.05 E               
 1154.6 349.93  23.39 F2              
 1186.1 350.63  21.18 F2              
 1267.4 351.41  18.21 F2              
 1125.6 353.51   8.28 E               
 1019.2 352.83  11.20 E               
 1021.2 353.53  11.20 E               
 1125.7 353.51   8.28 E               
 1021.0 352.83  11.20 E               
 1023.0 353.53  11.20 E               
 1015.5 352.82  10.64 E               
 1264.9 351.38  18.19 F2              
 1149.0 352.13  24.46 F2              
 1018.5 353.52  10.63 E               
 1194.9 351.42  20.63 F2              
 1126.8 353.51   8.28 E               
 1194.8 351.42  20.64 F2              
 1033.3 353.52  10.05 E               
 1183.1 351.42  21.22 F2              
 1058.1 353.52   9.47 E               
 1243.5 352.10  18.87 F2              
 1263.4 352.09  18.27 F2              
 1020.0 353.52  10.64 E               
 1243.2 352.00  18.88 F2              
 1058.7 353.52   9.47 E               
 1162.9 350.72  22.36 F2              
 1090.3 353.51   8.88 E               
 1194.1 350.71  20.67 F2              
 1242.6 351.30  18.89 F2              
 1022.3 353.52  10.64 E               
 1262.5 352.10  18.32 F2              
