
[strDate]   [strTime]   [Frq_rpu]    [Frq_meg]    [Band]  [E]   [S_N] [Att]  [B]     [A]    [S0]  [aIRI0]   [Lat0]  [Lon0]   [S1]  [aIRI1]  [Lat1]  [Lon1]   [S2]  [aIRI2]  [Lat2]  [Lon2] [Sigm] [Time_sec]  [Cource]  [BaseLat]  [BaseLon]  [TypeSignalName]  [DispApd]  [Dopler]  [Delay]
04.04.2019 21:59:40.420   4.99600000   4996.00736   0.62  -41.7   33.8  28.0 22.20  352.8  1272.3  353.37   58.45   37.30  2597.3  354.33   70.24   33.16  3956.0  356.18   82.30   22.97    1.4     79180.420     13.50   47.10740   39.80800  "Undefined"       0.0        7.36  0.00000000
04.04.2019 21:59:51.487   4.99600000   4996.00001   0.55  -34.8   43.9  28.0 28.20  352.1  1090.8  352.74   56.82   37.55  2272.0  353.75   67.33   34.15     0.0  352.08    0.00    0.00    1.2     79191.487     13.50   47.10740   39.80800  "Undefined"      63.3        0.01  0.00000000
04.04.2019 22:00:01.832   4.99600000   4995.99999   0.53  -33.4   45.3  28.0 27.00  352.1  1120.9  352.72   57.09   37.47  2322.5  353.72   67.78   33.89  3677.5  355.53   79.81   25.88    1.2     79201.832     13.50   47.10740   39.80800  "Undefined"      62.6       -0.01  0.00000000
04.04.2019 22:00:12.201   4.99600000   4995.99998   0.55  -31.9   46.9  28.0 26.40  352.8  1138.1  353.40   57.26   37.64  2357.1  354.35   68.12   34.33  3711.0  356.04   80.18   26.92    1.1     79212.201     13.50   47.10740   39.80800  "Undefined"      62.7       -0.02  0.00000000
04.04.2019 22:00:22.538   4.99600000   4996.00001   0.46  -30.5   46.3  28.0 24.00  352.8  1209.8  353.38   57.90   37.46  2484.0  354.33   69.24   33.72  3831.1  356.06   81.22   25.04    1.2     79222.538     13.50   47.10740   39.80800  "Undefined"       0.0        0.01  0.00000000
04.04.2019 22:00:32.886   4.99600000   4995.99999   0.55  -29.8   48.8  28.0 15.60  353.5   764.9  353.60   53.94   38.51  1538.7  353.72   60.83   36.73  2309.0  353.92   67.67   34.14    1.2     79232.886     13.50   47.10740   39.80800  "Undefined"      62.7       -0.01  0.00000000
04.04.2019 22:00:32.886   4.99600000   4995.99999   0.55  -29.8   48.8  28.0 21.60  352.8  1295.1  353.38   58.66   37.24  2638.7  354.35   70.61   32.95     0.0  352.80    0.00    0.00    1.2     79232.886     13.50   47.10740   39.80800  "Undefined"      62.7       -0.01  0.00000000
04.04.2019 22:00:43.240   4.99600000   4996.00001   0.46  -32.2   44.6  28.0 24.00  352.8  1209.8  353.37   57.90   37.46  2484.2  354.32   69.25   33.71  3831.3  356.05   81.22   25.02    1.2     79243.240     13.50   47.10740   39.80800  "Undefined"       0.0        0.01  0.00000000
04.04.2019 22:00:43.240   4.99600000   4996.00001   0.46  -32.2   44.6  28.0 25.80  352.1  1153.3  352.72   57.38   37.38  2378.4  353.71   68.27   33.61  3711.3  355.49   80.09   25.24    1.2     79243.240     13.50   47.10740   39.80800  "Undefined"       0.0        0.01  0.00000000
04.04.2019 22:00:54.365   4.99600000   4996.00001   0.46  -34.7   44.1  28.0 25.80  352.1  1153.3  352.70   57.38   37.38  2378.2  353.69   68.27   33.60  3710.7  355.47   80.09   25.20    1.2     79254.365     13.50   47.10740   39.80800  "Undefined"       0.0        0.01  0.00000000
