
[strDate]   [strTime]   [Frq_rpu]    [Frq_meg]    [Band]  [E]   [S_N] [Att]  [B]     [A]    [S0]  [aIRI0]   [Lat0]  [Lon0]   [S1]  [aIRI1]  [Lat1]  [Lon1]   [S2]  [aIRI2]  [Lat2]  [Lon2] [Sigm] [Time_sec]  [Cource]  [BaseLat]  [BaseLon]  [TypeSignalName]  [DispApd]  [Dopler]  [Delay]
04.04.2019 14:59:46.011   9.99600000   9995.99952   0.40  -58.0   35.5  28.0 28.20  351.3     0.0  351.31    0.00    0.00     0.0  351.31    0.00    0.00     0.0  351.31    0.00    0.00    1.6     53986.011     13.50   47.10740   39.80800  "Undefined"       0.0       -0.48  0.00000000
04.04.2019 14:59:46.011   9.99600000   9995.99952   0.40  -58.0   35.5  28.0 11.40  352.8   961.5  352.96   55.68   37.93  2002.2  353.19   64.92   34.85  3261.8  353.89   75.99   27.36    1.4     53986.011     13.50   47.10740   39.80800  "Undefined"       0.0       -0.48  0.00000000
04.04.2019 14:59:57.873   9.99600000   9995.99989   0.11  -53.6   47.4  28.0 25.80  352.1     0.0  352.05    0.00    0.00     0.0  352.05    0.00    0.00     0.0  352.05    0.00    0.00    1.7     53997.873     13.50   47.10740   39.80800  "Undefined"       0.0       -0.11  0.00000000
04.04.2019 14:59:57.873   9.99600000   9995.99989   0.11  -53.6   47.4  28.0 28.80  351.4     0.0  351.36    0.00    0.00     0.0  351.36    0.00    0.00     0.0  351.36    0.00    0.00    1.6     53997.873     13.50   47.10740   39.80800  "Undefined"       0.0       -0.11  0.00000000
04.04.2019 14:59:57.873   9.99600000   9995.99989   0.11  -53.6   47.4  28.0 14.40  352.8  1603.7  353.33   61.39   36.34  3259.7  354.43   76.05   28.45     0.0  352.80    0.00    0.00    1.5     53997.873     13.50   47.10740   39.80800  "Undefined"       0.0       -0.11  0.00000000
04.04.2019 15:00:08.586   9.99600000   9996.00009   0.22  -52.1   43.9  28.0 28.80  351.4     0.0  351.36    0.00    0.00     0.0  351.36    0.00    0.00     0.0  351.36    0.00    0.00    1.5     54008.586     13.50   47.10740   39.80800  "Undefined"       0.0        0.09  0.00000000
04.04.2019 15:00:20.419   9.99600000   9995.99983   0.29  -45.4   51.5  28.0 28.80  351.3     0.0  351.33    0.00    0.00     0.0  351.33    0.00    0.00     0.0  351.33    0.00    0.00    1.8     54020.419     13.50   47.10740   39.80800  "Undefined"       0.0       -0.17  0.00000000
04.04.2019 15:00:20.419   9.99600000   9995.99983   0.29  -45.4   51.5  28.0 10.80  352.9   979.8  352.99   55.84   37.90  2009.1  353.21   64.98   34.83  3441.1  354.10   77.56   25.60    1.4     54020.419     13.50   47.10740   39.80800  "Undefined"       0.0       -0.17  0.00000000
04.04.2019 15:00:20.419   9.99600000   9995.99983   0.29  -45.4   51.5  28.0  9.00  353.5  1071.4  353.58   56.67   37.86  2172.2  353.79   66.45   34.61  3339.0  354.31   76.72   27.34    1.4     54020.419     13.50   47.10740   39.80800  "Undefined"       0.0       -0.17  0.00000000
04.04.2019 15:00:33.365   9.99600000   9995.99983   0.29  -44.6   52.2  28.0 29.40  350.7     0.0  350.68    0.00    0.00     0.0  350.68    0.00    0.00     0.0  350.68    0.00    0.00    1.5     54033.365     13.50   47.10740   39.80800  "Undefined"       0.0       -0.17  0.00000000
04.04.2019 15:00:33.365   9.99600000   9995.99983   0.29  -44.6   52.2  28.0  9.00  352.8  1071.3  352.97   56.65   37.67  2171.5  353.20   66.41   34.13  3334.4  353.76   76.59   26.25    1.5     54033.365     13.50   47.10740   39.80800  "Undefined"       0.0       -0.17  0.00000000
04.04.2019 15:00:45.313   9.99600000   9995.99990   0.29  -44.6   48.2  28.0 28.80  351.4     0.0  351.38    0.00    0.00     0.0  351.38    0.00    0.00     0.0  351.38    0.00    0.00    1.5     54045.313     13.50   47.10740   39.80800  "Undefined"       0.0       -0.10  0.00000000
04.04.2019 15:00:45.313   9.99600000   9995.99990   0.29  -44.6   48.2  28.0  9.60  352.8  1036.0  352.96   56.34   37.76  2104.5  353.18   65.82   34.41  3259.4  353.73   75.95   27.08    1.5     54045.313     13.50   47.10740   39.80800  "Undefined"       0.0       -0.10  0.00000000
04.04.2019 15:00:56.033   9.99600000   9995.99997   0.40  -39.1   56.3  28.0 28.20  351.3     0.0  351.33    0.00    0.00     0.0  351.33    0.00    0.00     0.0  351.33    0.00    0.00    1.4     54056.033     13.50   47.10740   39.80800  "Undefined"       0.0       -0.03  0.00000000
04.04.2019 15:00:56.033   9.99600000   9995.99997   0.40  -39.1   56.3  28.0  9.60  353.5  1036.2  353.58   56.36   37.94  2105.8  353.79   65.87   34.88  3267.3  354.30   76.10   28.10    1.4     54056.033     13.50   47.10740   39.80800  "Undefined"       0.0       -0.03  0.00000000
04.04.2019 15:01:07.845   9.99600000   9996.00032   0.27  -47.9   47.3  28.0 28.20  351.3     0.0  351.31    0.00    0.00     0.0  351.31    0.00    0.00     0.0  351.31    0.00    0.00    1.5     54067.845     13.50   47.10740   39.80800  "Undefined"       0.0        0.32  0.00000000
04.04.2019 15:01:07.845   9.99600000   9996.00032   0.27  -47.9   47.3  28.0  9.00  353.5  1071.5  353.60   56.67   37.86  2172.4  353.81   66.46   34.63  3339.4  354.33   76.72   27.37    1.4     54067.845     13.50   47.10740   39.80800  "Undefined"       0.0        0.32  0.00000000
04.04.2019 15:01:18.611   9.99600000   9996.00015   0.40  -38.8   56.6  28.0 28.79  351.3     0.0  351.35    0.00    0.00     0.0  351.35    0.00    0.00     0.0  351.35    0.00    0.00    1.4     54078.611     13.50   47.10740   39.80800  "Undefined"       0.0        0.15  0.00000000
04.04.2019 15:01:30.462   9.99600000   9996.00016   0.40  -31.5   64.0  28.0 28.20  351.3     0.0  351.33    0.00    0.00     0.0  351.33    0.00    0.00     0.0  351.33    0.00    0.00    1.4     54090.462     13.50   47.10740   39.80800  "Undefined"       0.0        0.16  0.00000000
04.04.2019 15:01:42.250   9.99600000   9996.00009   0.40  -33.3   62.2  28.0 10.80  352.8   979.8  352.97   55.84   37.89  2009.0  353.19   64.98   34.82  3441.0  354.08   77.55   25.57    1.4     54102.250     13.50   47.10740   39.80800  "Undefined"       0.0        0.09  0.00000000
04.04.2019 15:01:42.250   9.99600000   9996.00009   0.40  -33.3   62.2  28.0 28.80  351.3     0.0  351.34    0.00    0.00     0.0  351.34    0.00    0.00     0.0  351.34    0.00    0.00    1.4     54102.250     13.50   47.10740   39.80800  "Undefined"       0.0        0.09  0.00000000
04.04.2019 15:01:54.685   9.99600000   9996.00004   0.40  -34.3   61.1  28.0 28.80  351.4     0.0  351.42    0.00    0.00     0.0  351.42    0.00    0.00     0.0  351.42    0.00    0.00    1.5     54114.685     13.50   47.10740   39.80800  "Undefined"       0.0        0.04  0.00000000
04.04.2019 15:01:54.685   9.99600000   9996.00004   0.40  -34.3   61.1  28.0 12.00  352.8     0.0  352.82    0.00    0.00     0.0  352.82    0.00    0.00     0.0  352.82    0.00    0.00    1.5     54114.685     13.50   47.10740   39.80800  "Undefined"       0.0        0.04  0.00000000
04.04.2019 15:02:05.504   9.99600000   9995.99996   0.40  -38.6   56.8  28.0 30.00  352.1     0.0  352.06    0.00    0.00     0.0  352.06    0.00    0.00     0.0  352.06    0.00    0.00    1.9     54125.504     13.50   47.10740   39.80800  "Undefined"       0.0       -0.04  0.00000000
04.04.2019 15:02:05.504   9.99600000   9995.99996   0.40  -38.6   56.8  28.0  6.60  353.5  1257.4  353.63   58.33   37.43  2537.9  353.89   69.69   32.98  3850.4  354.67   81.10   19.86    1.5     54125.504     13.50   47.10740   39.80800  "Undefined"       0.0       -0.04  0.00000000
04.04.2019 15:02:17.467   9.99600000   9996.00011   0.40  -32.6   52.8  28.0 28.80  351.3     0.0  351.32    0.00    0.00     0.0  351.32    0.00    0.00     0.0  351.32    0.00    0.00    1.5     54137.467     13.50   47.10740   39.80800  "Undefined"       0.0        0.11  0.00000000
04.04.2019 15:02:17.467   9.99600000   9996.00011   0.40  -32.6   52.8  28.0  9.00  353.5  1071.5  353.62   56.67   37.87  2172.4  353.83   66.46   34.65  3339.7  354.35   76.73   27.41    1.5     54137.467     13.50   47.10740   39.80800  "Undefined"       0.0        0.11  0.00000000
04.04.2019 15:02:29.302   9.99600000   9995.99994   0.40  -39.3   56.2  28.0 28.20  350.6     0.0  350.63    0.00    0.00     0.0  350.63    0.00    0.00     0.0  350.63    0.00    0.00    1.6     54149.302     13.50   47.10740   39.80800  "Undefined"       0.0       -0.06  0.00000000
04.04.2019 15:02:29.302   9.99600000   9995.99994   0.40  -39.3   56.2  28.0 12.00  352.9     0.0  352.85    0.00    0.00     0.0  352.85    0.00    0.00     0.0  352.85    0.00    0.00    1.5     54149.302     13.50   47.10740   39.80800  "Undefined"       0.0       -0.06  0.00000000
