  8.50 13.05 1712.32   95.76 F2              
  8.50 14.25 3006.74   95.71 F2F2            
  8.50  0.00    0.00    0.00                 
  9.60 14.06 1636.68   93.83 F2              
  9.60 15.48 2879.29   93.75 F2F2            
  9.60 15.38 4071.19   93.78 F2F2F2          
 16.05 20.32 1313.75   95.58 F2              
 16.05 22.37 2349.40   95.40 F2F2            
 16.05 22.76 3310.36   95.38 F2F2F2          
  0.00  0.00    0.00    0.00                 
  0.00 22.37 2349.40   95.40 F2F2            
  0.00 22.76 3310.36   95.38 F2F2F2          
 11.88 16.19 1497.10   95.79 F2              
 11.88 17.82 2657.18   95.70 F2F2            
 11.88 17.84 3758.38   95.72 F2F2F2          
 15.73 19.99 1325.44   95.08 F2              
 15.73 22.02 2369.26   94.91 F2F2            
 15.73 22.40 3337.80   94.89 F2F2F2          
  0.00  0.00    0.00    0.00                 
  0.00 22.02 2369.26   94.91 F2F2            
  0.00 22.40 3337.80   94.89 F2F2F2          
  0.00  0.00    0.00    0.00                 
  0.00 22.02 2369.26   94.91 F2F2            
  0.00 22.40 3337.80   94.89 F2F2F2          
 17.89 22.20 1257.66   94.40 F2              
 17.89 24.43 2251.52   94.17 F2F2            
 17.89 25.02 3165.46   94.11 F2F2F2          
 24.51 31.13 1365.69   96.99 F2              
 24.51 33.50 2275.52   96.52 F2F2            
 24.51 34.02 3113.27   96.35 F2F2F2          
 17.59 21.88 1267.14   93.71 F2              
 17.59 24.11 2267.85   93.47 F2F2            
 17.59 24.70 3187.10   93.42 F2F2F2          
 24.47 31.21 1415.52   91.32 F2              
 24.47 33.74 2335.65   90.72 F2F2            
 24.47 34.46 3175.98   90.44 F2F2F2          
 17.01 21.29 1280.31   95.85 F2              
 17.01 23.40 2292.69   95.66 F2F2            
 17.01 23.85 3230.23   95.63 F2F2F2          
 14.22 18.46 1385.11   94.42 F2              
 14.22 20.38 2469.87   94.28 F2F2            
 14.22 20.64 3481.34   94.28 F2F2F2          
 11.74 16.04 1504.89   94.39 F2              
 11.74 17.69 2668.21   94.29 F2F2            
 11.74 17.73 3768.99   94.31 F2F2F2          
  0.00  0.00    0.00    0.00                 
  0.00 17.69 2668.21   94.29 F2F2            
  0.00 17.73 3768.99   94.31 F2F2F2          
 19.82 24.25 1213.13   94.12 F2              
 19.82 26.63 2170.48   93.83 F2F2            
 19.82 27.35 3046.55   93.73 F2F2F2          
 22.72 27.66 1203.00   92.72 F2              
 22.72 30.28 2125.10   92.28 F2F2            
 22.72 31.20 2962.27   92.09 F2F2F2          
 13.36 17.60 1420.16   95.56 F2              
 13.36 19.37 2531.24   95.44 F2F2            
 13.36 19.50 3577.17   95.46 F2F2F2          
 21.08 25.65 1194.08   94.26 F2              
 21.08 28.11 2131.64   93.93 F2F2            
 21.08 28.89 2988.20   93.81 F2F2F2          
 17.86 22.14 1255.20   94.51 F2              
 17.86 24.34 2249.21   94.29 F2F2            
 17.86 24.90 3164.94   94.23 F2F2F2          
 17.65 21.93 1256.69   96.95 F2              
 17.65 24.03 2253.91   96.75 F2F2            
 17.65 24.47 3179.54   96.73 F2F2F2          
 20.00 24.39 1212.76   91.48 F2              
 20.00 26.85 2169.87   91.15 F2F2            
 20.00 27.69 3040.58   91.02 F2F2F2          
 16.27 20.49 1304.39   94.06 F2              
 16.27 22.57 2334.71   93.88 F2F2            
 16.27 23.01 3287.75   93.85 F2F2F2          
 19.81 24.19 1213.10   92.61 F2              
 19.81 26.60 2171.80   92.30 F2F2            
 19.81 27.37 3046.83   92.19 F2F2F2          
 13.16 17.39 1429.85   94.46 F2              
 13.16 19.17 2546.49   94.34 F2F2            
 13.16 19.31 3595.57   94.35 F2F2F2          
 14.86 19.07 1353.48   95.52 F2              
 14.86 20.96 2420.20   95.38 F2F2            
 14.86 21.21 3417.67   95.38 F2F2F2          
