  0.00  0.00    0.00    0.00                 
  0.00  6.01 2850.39   -8.35 EsEs            
  0.00  5.81 4228.61   -8.30 EsEsEs          
  5.69  2.77 1832.27    5.28 Es              
  5.69  2.19 3699.31    5.33 EEs             
  5.69  0.00    0.00    0.00                 
  0.00  0.00    0.00    0.00 E               
  0.00  2.19 3699.31    5.33 EEs             
  0.00  0.00    0.00    0.00                 
 42.95 42.46  495.66   -9.23 F2              
 42.95 41.06 1022.45   -8.49 F2F2            
 42.95 38.37 1616.73   -7.59 F2F2F2          
 39.85 39.19  540.34   -2.17 F2              
 39.85 37.44 1123.26   -1.55 F2F2            
 39.85 34.11 1802.36   -0.79 F2F2F2          
 40.07 39.46  536.68   -3.87 F2              
 40.07 37.77 1113.97   -3.22 F2F2            
 40.07 34.56 1782.80   -2.44 F2F2F2          
 40.65 40.05  523.26  132.85 F2              
 40.65 39.49 1057.68  132.32 F2F2            
 40.65 39.23 1602.31  131.70 F2F2F2          
 37.97 37.37  567.89   -4.10 F2              
 37.97 35.64 1180.45   -3.48 F2F2            
 37.97 32.30 1897.19   -2.72 F2F2F2          
 33.52 33.66  632.09  -29.09 F2              
 33.52 33.20 1280.40  -28.50 F2F2            
 33.52 31.99 1973.87  -27.71 F2F2F2          
 43.83 43.33  484.27   -9.21 F2              
 43.83 41.94  998.56   -8.46 F2F2            
 43.83 39.29 1577.14   -7.54 F2F2F2          
 41.89 41.17  512.30    0.15 F2              
 41.89 39.38 1065.23    0.79 F2F2            
 41.89 36.07 1706.73    1.54 F2F2F2          
 12.22 10.52 1516.86  -11.39 F2              
 12.22  0.00    0.00    0.00                 
 12.22 36.07 1706.73    1.54 F2F2F2          
 45.28 44.75  466.23   -8.39 F2              
 45.28 43.35  961.38   -7.62 F2F2            
 45.28 40.72 1517.26   -6.67 F2F2F2          
 16.17 15.09 1215.38   -9.28 F2              
 16.17 11.70 2660.99   -8.81 F2F2            
 16.17  0.00    0.00    0.00                 
 44.92 44.33  471.33   -5.89 F2              
 44.92 42.82  973.98   -5.15 F2F2            
 44.92 40.01 1542.54   -4.25 F2F2F2          
 44.72 44.20  473.20   -8.40 F2              
 44.72 42.79  976.01   -7.64 F2F2            
 44.72 40.12 1541.41   -6.71 F2F2F2          
 16.29 15.25 1207.09   -9.78 F2              
 16.29 11.96 2633.68   -9.31 F2F2            
 16.29  0.00    0.00    0.00                 
 11.99 10.10 1547.39   -9.69 F2              
 11.99  0.00    0.00    0.00                 
 11.99  0.00    0.00    0.00                 
 42.21 43.15  487.22 -118.52 F2              
 42.21 43.66  962.40 -118.64 F2F2            
 42.21 43.90 1436.06 -118.75 F2F2F2          
 48.80 48.08  426.06   -1.43 F2              
 48.80 46.48  881.68   -0.64 F2F2            
 48.80 43.63 1396.22    0.26 F2F2F2          
 39.16 38.31  552.63    5.70 F2              
 39.16 36.28 1155.79    6.25 F2F2            
 39.16 32.57 1872.57    6.84 F2F2F2          
 22.70 22.12  907.56   -8.65 F2              
 22.70 19.82 1921.56   -8.17 F2F2            
 22.70 15.29 3277.23   -7.45 F2F2F2          
 40.04 39.37  537.79   -1.47 F2              
 40.04 37.59 1118.43   -0.85 F2F2            
 40.04 34.24 1795.44   -0.10 F2F2F2          
 44.75 44.23  472.78   -8.60 F2              
 44.75 42.83  974.97   -7.83 F2F2            
 44.75 40.18 1539.32   -6.90 F2F2F2          
 13.90 12.48 1372.53   -9.88 F2              
 13.90  8.32 3103.14   -9.40 F2F2            
 13.90  0.00    0.00    0.00                 
 44.84 44.44  470.79  -13.19 F2              
 44.84 43.24  967.20  -12.40 F2F2            
 44.84 40.90 1517.88  -11.41 F2F2F2          
  0.00  0.00    0.00    0.00 Es              
  0.00 43.24  967.20  -12.40 F2F2            
  0.00 40.90 1517.88  -11.41 F2F2F2          
 38.52 39.51  537.69 -111.59 F2              
 38.52 40.05 1061.23 -111.68 F2F2            
 38.52 40.27 1583.09 -111.77 F2F2F2          
 34.76 34.44  617.17  -13.84 F2              
 34.76 33.10 1273.50  -13.21 F2F2            
 34.76 30.36 2026.18  -12.38 F2F2F2          
 42.35 41.89  503.66  -10.23 F2              
 42.35 40.52 1038.51   -9.50 F2F2            
 42.35 37.86 1641.48   -8.59 F2F2F2          
 25.33 24.68  829.28   -4.43 F2              
 25.33 22.33 1756.58   -3.95 F2F2            
 25.33 17.69 2980.80   -3.28 F2F2F2          
 44.15 43.70  479.99  -11.20 F2              
 44.15 42.40  988.06  -10.43 F2F2            
 44.15 39.89 1556.06   -9.47 F2F2F2          
 28.35 28.10  744.55  -15.71 F2              
 28.35 26.69 1540.43  -15.16 F2F2            
