
delt0=       1  eps=   1e-05  ep=   1e-06  ep1=   0.001
Geomagnetic Field - const
fh= 1.34  i=  65.2  d=   6.8
Number TID: 1
Tid Parametres
  delt   lamb     t     b      a     fi
0.000   200.0  20.0 -45.0   45.0   0.000
delta=-0.000  r0= 200.0  lon=  39.000 lat=  55.000
Beta=  20.0  Alfa=   0.0 aX=  20.0 aY= 100.0 aZ=  20.0


Number diff. equation: 6

+==============================================================================+
|   Medium characteristics Sunspot number= 139.8 IG= 122.8   GMT time:15:00    |
|------------------------------------------------------------------------------|
|   S   | fh |  I  |   D  | fd |  hd | fe |  he | ff1 | hf1 | ff2 | hf2 |   Hi |
|-------+----+-----+------+----+-----+----+-----+-----+-----+-----+-----+------|
|    0.0|1.25| 58.8|   3.1|0.18| 84.0|0.77|110.0| 0.00|  0.0| 8.00|290.2|  98.0|
+==============================================================================+

+==================================+
|       Es-layer parametres        |
|----------------------------------|
|   S   | hEs | fbEs | f0Es | P Es |
|-------+-----+------+------+------|
|    0.0|110.4| 1.99 | 2.50 | 62.9 |
+==================================+

+---+-----+-------+---+-----+-----+--------+--------+---------+------+------+-------+------+------+--------+--------+------+------+-------+-------+----------------+
|0-x| fr  |  time |hop| d0  | d1  |   fi   |  teta  |   dist  |  at  |  dev |   p   |  df  |  l   |   fot  |   tot  |  rot | lsp  |   pf  |    s  |                |
+---+-----+-------+---+-----+-----+--------+--------+---------+------+------+-------+------+------+--------+--------+------+------+-------+-------+----------------+
|  0|13.60|54020.7|  1|26.01|30.24|  24.709|  41.812| 1132.151| -79.3|  -0.4| 1344.4| 0.000|   0.0|  31.847|  41.951|259.26|   0.0|    0.0|    0.0|F2              |
|   |     |       |  2|30.24|32.09|  12.699|  42.665| 2033.652| -79.8|  -0.9| 2442.7| 0.000|   0.0|  18.507|  42.052|239.82|   0.0|    0.0|    0.0|F2F2            |
|   |     |       |  3|32.09|32.89|   2.176|  44.647| 2869.824| -80.2|  -1.3| 3474.7| 0.000|   0.0|   7.282|  43.519|234.08|   0.0|    0.0|    0.0|F2F2F2          |
|  0|13.60|54020.7|  1| 0.02| 7.99|   3.777|  43.362| 2710.903| -78.1|  -0.2| 2790.9| 0.000|   0.0|  17.415|  41.717|191.15|   0.0|    0.0|    0.0|F2              |
|  0|13.60|54020.7|  1|27.61|33.99|  21.791|  41.164| 1347.119| -76.0|   0.0| 1656.9| 0.000|   0.0|  30.359|  41.539|272.72|   0.0|    0.0|    0.0|F2              |
|   |     |       |  2|33.99|35.76|  10.300|  41.718| 2194.065| -76.1|  -0.1| 2735.0| 0.000|   0.0|  15.904|  41.268|246.06|   0.0|    0.0|    0.0|F2F2            |
|   |     |       |  3|35.76|36.47|   0.233|  43.299| 2969.775| -76.4|  -0.4| 3735.7| 0.000|   0.0|   5.160|  42.376|240.16|   0.0|    0.0|    0.0|F2F2F2          |
|  0|13.60|54052.5|  1|18.47|21.95|  22.719|  42.003| 1280.471| -80.1|  -0.5| 1418.7| 0.000|   0.0|  30.703|  41.965|233.99|   0.0|    0.0|    0.0|F2              |
|   |     |       |  2|21.95|23.48|   8.387|  43.570| 2375.001| -80.6|  -1.0| 2650.0| 0.000|   0.0|  15.264|  42.546|219.05|   0.0|    0.0|    0.0|F2F2            |
