
delt0=     0.1  eps=   1e-05  ep=   1e-06  ep1=   0.001
Geomagnetic Field - const
fh= 1.34  i=  65.2  d=   6.8
Number TID: 1
Tid Parametres
  delt   lamb     t     b      a     fi
0.000   200.0  20.0 -45.0   45.0   0.000
delta=-0.000  r0= 200.0  lon=  39.000 lat=  55.000
Beta=  20.0  Alfa=   0.0 aX=  20.0 aY= 100.0 aZ=  20.0

lonIon=  40.000 latIon=  47.500 it= 9.00 h_tec=450.0  TEC= 2.32000e+17
lonIon=  40.000 latIon=  47.500 it= 9.25 h_tec=450.0  TEC= 2.32000e+17
lonIon=  40.000 latIon=  47.500 it= 9.50 h_tec=450.0  TEC= 2.32000e+17
lonIon=  40.000 latIon=  47.500 it= 9.75 h_tec=450.0  TEC= 2.32000e+17

Number diff. equation: 6

+==============================================================================+
|   Medium characteristics Sunspot number=  95.9 IG=  95.9   GMT time:09:00    |
|------------------------------------------------------------------------------|
|   S   | fh |  I  |   D  | fd |  hd | fe |  he | ff1 | hf1 | ff2 | hf2 |   Hi |
|-------+----+-----+------+----+-----+----+-----+-----+-----+-----+-----+------|
|    0.0|1.25| 58.8|   3.1|0.19| 81.1|3.01|110.0| 0.00|  0.0| 9.61|240.2|  66.3|
+==============================================================================+

+==================================+
|       Es-layer parametres        |
|----------------------------------|
|   S   | hEs | fbEs | f0Es | P Es |
|-------+-----+------+------+------|
|    0.0|110.0| 2.84 | 3.28 | 64.3 |
+==================================+

+---+-----+-------+---+-----+-----+--------+--------+---------+------+------+-------+------+------+--------+--------+------+------+-------+-------+----------------+
|0-x| fr  |  time |hop| d0  | d1  |   fi   |  teta  |   dist  |  at  |  dev |   p   |  df  |  l   |   fot  |   tot  |  rot | lsp  |   pf  |    s  |                |
+---+-----+-------+---+-----+-----+--------+--------+---------+------+------+-------+------+------+--------+--------+------+------+-------+-------+----------------+
|  0|17.65|32408.7|  1|15.75|14.85|  56.178|  44.639| 1271.955|  93.6|   0.0| 1356.8| 0.000|   0.0|  48.035|  43.367|161.29|   0.0|    0.0|    0.0|F2              |
|   |     |       |  2|14.85|13.19|  73.013|  49.483| 2740.730|  93.7|   0.1| 2917.5| 0.000|   0.0|  64.632|  46.662|175.61|   0.0|    0.0|    0.0|F2F2            |
|  0|17.65|32419.7|  1|13.53|12.56|  57.452|  45.027| 1379.943|  94.2|   0.0| 1455.3| 0.000|   0.0|  48.631|  43.503|155.07|   0.0|    0.0|    0.0|F2              |
|   |     |       |  2|12.56|11.00|  75.719|  50.876| 3017.502|  94.2|   0.0| 3178.1| 0.000|   0.0|  66.800|  47.521|171.57|   0.0|    0.0|    0.0|F2F2            |
|  0|17.65|32430.7|  1|23.05|22.29|  53.539|  44.148| 1059.607|  93.6|   0.1| 1187.6| 0.000|   0.0|  46.739|  43.214|184.57|   0.0|    0.0|    0.0|F2              |
|   |     |       |  2|22.29|20.54|  67.322|  47.481| 2217.444|  93.7|   0.2| 2475.2| 0.000|   0.0|  60.437|  45.549|194.21|   0.0|    0.0|    0.0|F2F2            |
|   |     |       |  3|20.54|19.73|  80.629|  52.864| 3499.574|  93.7|   0.2| 3891.4| 0.000|   0.0|  74.273|  49.998|205.16|   0.0|    0.0|    0.0|F2F2F2          |
|  0|17.65|32441.7|  1|13.93|12.97|  57.248|  44.851| 1358.993|  93.6|   0.0| 1436.0| 0.000|   0.0|  48.480|  43.420|156.21|   0.0|    0.0|    0.0|F2              |
|   |     |       |  2|12.97|11.37|  75.332|  50.403| 2963.038|  93.6|   0.0| 3126.2| 0.000|   0.0|  66.487|  47.206|172.23|   0.0|    0.0|    0.0|F2F2            |
|  0|17.65|32452.6|  1| 0.00| 0.00|   0.000|   0.000|    0.000|   0.0|   0.0|    0.0| 0.000|   0.0|   0.000|   0.000|  0.00|   0.0|    0.0|    0.0|F2              |
|  0|17.65|32452.6|  1|20.30|19.47|  54.146|  44.647| 1119.472|  95.8|   0.1| 1228.6| 0.000|   0.0|  47.074|  43.445|175.34|   0.0|    0.0|    0.0|F2              |
|   |     |       |  2|19.47|17.75|  68.540|  48.742| 2367.652|  95.8|   0.1| 2589.7| 0.000|   0.0|  61.349|  46.390|186.73|   0.0|    0.0|    0.0|F2F2            |
|   |     |       |  3|17.75|17.36|  82.126|  55.033| 3744.237|  95.8|   0.1| 4084.5| 0.000|   0.0|  75.623|  51.699|197.18|   0.0|    0.0|    0.0|F2F2F2          |
|  0|17.65|32463.5|  1|25.60|24.82|  53.076|  44.406| 1031.897|  95.6|   0.1| 1182.2| 0.000|   0.0|  46.618|  43.366|194.42|   0.0|    0.0|    0.0|F2              |
|   |     |       |  2|24.82|23.02|  66.174|  47.861| 2148.254|  95.7|   0.2| 2449.3| 0.000|   0.0|  59.642|  45.884|203.67|   0.0|    0.0|    0.0|F2F2            |
|   |     |       |  3|23.02|22.16|  78.799|  53.218| 3383.017|  95.8|   0.3| 3839.4| 0.000|   0.0|  72.762|  50.379|214.66|   0.0|    0.0|    0.0|F2F2F2          |
|  0|17.65|32474.5|  1|25.13|24.36|  53.168|  44.255| 1034.531|  94.6|   0.1| 1180.2| 0.000|   0.0|  46.647|  43.287|192.46|   0.0|    0.0|    0.0|F2              |
|   |     |       |  2|24.36|22.58|  66.435|  47.578| 2155.068|  94.7|   0.2| 2447.0| 0.000|   0.0|  59.808|  45.664|201.70|   0.0|    0.0|    0.0|F2F2            |
|   |     |       |  3|22.58|21.69|  79.257|  52.832| 3394.446|  94.8|   0.3| 3837.0| 0.000|   0.0|  73.143|  50.047|212.61|   0.0|    0.0|    0.0|F2F2F2          |
|  0|17.65|32485.5|  1|19.21|18.35|  54.577|  44.584| 1149.953|  95.0|   0.1| 1252.6| 0.000|   0.0|  47.347|  43.408|171.80|   0.0|    0.0|    0.0|F2              |
+---+-----+-------+---+-----+-----+--------+--------+---------+------+------+-------+------+------+--------+--------+------+------+-------+-------+----------------+
|   |     |       |  2|18.35|16.64|  69.509|  48.761| 2441.328|  95.0|   0.1| 2651.1| 0.000|   0.0|  62.053|  46.352|183.88|   0.0|    0.0|    0.0|F2F2            |
|   |     |       |  3|16.64|16.33|  83.533|  55.255| 3863.891|  95.0|   0.1| 4185.9| 0.000|   0.0|  76.823|  51.807|194.14|   0.0|    0.0|    0.0|F2F2F2          |
|  0|17.65|32496.5|  1|10.15| 9.05|  60.105|  45.736| 1603.978|  94.6|  -0.0| 1667.7| 0.000|   0.0|  49.877|  43.721|146.77|   0.0|    0.0|    0.0|F2              |
|   |     |       |  2| 9.05| 7.84|  81.338|  53.752| 3605.820|  94.5|  -0.1| 3749.4| 0.000|   0.0|  70.918|  49.101|167.68|   0.0|    0.0|    0.0|F2F2            |
|  0|17.65|32507.5|  1|14.68|13.70|  56.763|  44.904| 1324.174|  94.3|   0.0| 1404.4| 0.000|   0.0|  48.262|  43.466|158.51|   0.0|    0.0|    0.0|F2              |
|   |     |       |  2|13.70|12.11|  74.232|  50.303| 2874.954|  94.3|   0.0| 3043.8| 0.000|   0.0|  65.522|  47.159|174.13|   0.0|    0.0|    0.0|F2F2            |
|  0|17.65|32518.5|  1|20.43|19.55|  54.005|  44.928| 1118.049|  97.5|   0.1| 1228.0| 0.000|   0.0|  47.099|  43.601|175.81|   0.0|    0.0|    0.0|F2              |
|   |     |       |  2|19.55|17.84|  68.174|  49.299| 2368.157|  97.5|   0.1| 2592.2| 0.000|   0.0|  61.139|  46.821|187.64|   0.0|    0.0|    0.0|F2F2            |
|   |     |       |  3|17.84|17.59|  81.437|  55.792| 3741.167|  97.5|   0.1| 4084.6| 0.000|   0.0|  75.054|  52.351|197.66|   0.0|    0.0|    0.0|F2F2F2          |
|  0|17.65|32529.4|  1|17.31|16.39|  55.378|  44.704| 1213.735|  94.7|   0.0| 1306.2| 0.000|   0.0|  47.646|  43.427|166.18|   0.0|    0.0|    0.0|F2              |
|   |     |       |  2|16.39|14.72|  71.238|  49.312| 2598.599|  94.8|   0.1| 2789.4| 0.000|   0.0|  63.348|  46.652|179.55|   0.0|    0.0|    0.0|F2F2            |
|   |     |       |  3|14.72|14.65|  85.860|  56.424| 4113.737|  94.7|   0.0| 4408.0| 0.000|   0.0|  78.994|  52.710|188.77|   0.0|    0.0|    0.0|F2F2F2          |
|  0|17.65|32540.4|  1|16.81|15.88|  55.647|  44.658| 1232.578|  94.2|   0.0| 1322.5| 0.000|   0.0|  47.792|  43.397|164.68|   0.0|    0.0|    0.0|F2              |
|   |     |       |  2|15.88|14.21|  71.849|  49.318| 2644.845|  94.3|   0.1| 2831.0| 0.000|   0.0|  63.767|  46.613|178.43|   0.0|    0.0|    0.0|F2F2            |
|  0|17.65|32551.4|  1| 5.73| 4.35|  66.584|  47.031| 2142.520|  93.1|  -0.0| 2199.2| 0.000|   0.0|  53.273|  44.021|139.37|   0.0|    0.0|    0.0|F2              |
|  0|17.65|32551.4|  1|21.49|20.65|  53.886|  44.364| 1091.584|  94.5|   0.1| 1208.3| 0.000|   0.0|  46.930|  43.312|179.33|   0.0|    0.0|    0.0|F2              |
|   |     |       |  2|20.65|18.91|  68.063|  48.061| 2299.368|  94.5|   0.1| 2535.8| 0.000|   0.0|  60.999|  45.931|190.08|   0.0|    0.0|    0.0|F2F2            |
