
[strDate]   [strTime]    [Frq_rpu]   [Frq_meg]    [Band]  [E]   [S_N] [Att]  [B]     [A]    [S0]  [aIRI0]   [Lat0]  [Lon0]   [S1]  [aIRI1]  [Lat1]  [Lon1]   [S2]  [aIRI2]  [Lat2]  [Lon2] [Sigm] [Time_sec]       [Cource] [BaseLat] [BaseLon] [TypeSignalName]    [Delay]
07.12.2016 09:46:31.509  9.35440002  9354.04754   0.01  -98.4    7.6  28.0 41.32   26.1     0.0   26.11    0.00    0.00     0.0   26.11    0.00    0.00     0.0   26.11    0.00    0.00   26.4     35191.509      5.50   47.24000   39.71000  "Undefined"           4.76
07.12.2016 09:46:31.905  9.43380003  9433.44756   0.01  -89.3    6.7  28.0 15.56  147.6     0.0  147.56    0.00    0.00     0.0  147.56    0.00    0.00     0.0  147.56    0.00    0.00   12.1     35191.905      5.50   47.24000   39.71000  "Undefined"           4.76
07.12.2016 09:46:31.905  9.43380003  9433.45763   0.01  -88.8    7.2  28.0  0.06  147.9     0.0  147.86    0.00    0.00     0.0  147.86    0.00    0.00     0.0  147.86    0.00    0.00   26.7     35191.905      5.50   47.24000   39.71000  "Undefined"           4.71
07.12.2016 09:46:32.898  9.63239999  9632.06766   0.01  -99.6    6.4  28.0 40.36   22.8     0.0   22.85    0.00    0.00     0.0   22.85    0.00    0.00     0.0   22.85    0.00    0.00    8.5     35192.898      5.50   47.24000   39.71000  "Undefined"           4.66
07.12.2016 09:46:35.084 10.06940003 10069.09287   0.01  -96.7    9.3  28.0 38.55   25.4     0.0   25.45    0.00    0.00     0.0   25.45    0.00    0.00     0.0   25.45    0.00    0.00   18.0     35195.084      5.50   47.24000   39.71000  "Undefined"           4.54
07.12.2016 09:46:35.282 10.10920000 10108.89285   0.01  -95.9   10.1  28.0 39.35   25.6     0.0   25.64    0.00    0.00     0.0   25.64    0.00    0.00     0.0   25.64    0.00    0.00    3.5     35195.282      5.50   47.24000   39.71000  "Undefined"           4.54
07.12.2016 09:46:35.680 10.18860002 10188.29790   0.01  -96.8    9.2  28.0 37.72   24.2     0.0   24.19    0.00    0.00     0.0   24.19    0.00    0.00     0.0   24.19    0.00    0.00    6.6     35195.680      5.50   47.24000   39.71000  "Undefined"           4.51
07.12.2016 09:46:35.878 10.22840000 10228.09787   0.01  -94.7    9.3  28.0 39.61   23.1     0.0   23.12    0.00    0.00     0.0   23.12    0.00    0.00     0.0   23.12    0.00    0.00    5.0     35195.878      5.50   47.24000   39.71000  "Undefined"           4.51
07.12.2016 09:46:36.473 10.34740000 10347.10291   0.01  -94.0   12.0  28.0 38.89   24.8     0.0   24.78    0.00    0.00     0.0   24.78    0.00    0.00     0.0   24.78    0.00    0.00    3.5     35196.473      5.50   47.24000   39.71000  "Undefined"           4.49
07.12.2016 09:46:36.871 10.42680002 10426.50796   0.01  -91.1   12.9  28.0 36.60   24.7     0.0   24.71    0.00    0.00     0.0   24.71    0.00    0.00     0.0   24.71    0.00    0.00    9.8     35196.871      5.50   47.24000   39.71000  "Undefined"           4.46
