.1 .00001 .000001 .001 4000.
2 0 0 0 0 1 -1
39.71 47.24 0. 0.
2016 12.1 0 0 1 1
-200. 2500. 000.0
102800 111500 1500
0
1.36 65 0
1
.0 200 20 -45.0 45 0
1
-0.0 200. 39.0 55. 20. 00.0 20. 100. 20.
10
39.0 47.0
39.71 47.24  102800 .0 0.0 0.0 000.0 .0 .0 0. 000.0
39.71 47.24  102800 .0 0.0 0.0 000.0 .0 .0 0. 000.0
1
58
 9.95059996 38.63   23.9 0
 9.99020000 39.45   24.1 0
10.02999998 40.38   25.7 0
10.06959997 38.94   23.8 0
10.14919997 42.82   16.7 0
10.14919997 39.65   23.4 0
10.18879996 38.42   25.7 0
10.22859998 37.66   26.1 0
10.30800000 39.17   15.6 0
10.30800000 38.13   21.3 0
10.34779997 39.01   24.4 0
10.38739996 41.42   17.2 0
10.38739996 38.98   24.6 0
10.42719999 38.71   24.9 0
10.50659995 39.92   18.3 0
10.54619999 37.89   24.4 0
10.62579999 39.08   20.9 0
10.66539998 37.77   22.3 0
10.70519996 38.28   21.5 0
10.74480000 33.08   24.4 0
10.82440000 36.86   26.2 0
10.86399999 36.09   25.3 0
10.90379997 35.35   25.8 0
10.94339996 38.09   25.8 0
10.98319998 35.31   25.6 0
11.14199996 35.26   25.5 0
11.18179999 33.86   25.0 0
11.22159996 33.37   25.7 0
11.26119996 35.87   25.0 0
11.30099998 36.55   24.5 0
11.34059997 36.27   24.4 0
11.38039999 36.32   24.1 0
11.42019997 35.62   24.4 0
11.45979996 35.89   24.3 0
11.49959999 35.23   24.6 0
11.53919998 35.36   24.1 0
11.57900000 35.03   23.8 0
11.69819999 33.33   23.9 0
11.81739998 32.94   23.7 0
11.89680000 34.75   23.2 0
11.97619996 34.07   22.8 0
12.01599999 33.28   23.5 0
12.05559998 32.79   22.7 0
12.09539996 29.74   20.0 0
12.09539996 33.01   22.7 0
12.13499999 30.01   20.4 0
12.13499999 32.76   22.6 0
12.17479997 32.11   22.3 0
12.17479997 29.86   19.9 0
12.21460000 31.90   23.2 0
12.21460000 29.46   20.4 0
12.25419999 32.09   22.5 0
12.25419999 30.54   20.3 0
12.29399996 31.06   21.0 0
12.33359995 31.62   21.7 0
12.37339998 30.83   21.6 0
12.41319995 32.25   22.2 0
12.45279999 31.09   22.1 0
1 1
22                        
