
[strDate]   [strTime]    [Frq_rpu]   [Frq_meg]    [Band]  [E]   [S_N] [Att]  [B]     [A]    [S0]  [aIRI0]   [Lat0]  [Lon0]   [S1]  [aIRI1]  [Lat1]  [Lon1]   [S2]  [aIRI2]  [Lat2]  [Lon2] [Sigm] [Time_sec]       [Cource] [BaseLat] [BaseLon] [TypeSignalName]    [Delay]
09.02.2017 10:20:09.640  4.98520003  4984.90797   0.01  -87.2   10.8  28.0 40.59   18.2     0.0   18.24    0.00    0.00     0.0   18.24    0.00    0.00     0.0   18.24    0.00    0.00    9.1     37209.640      5.50   47.24000   39.71000  "Undefined"           4.46
09.02.2017 10:20:10.036  5.06460000  5064.30291   0.01  -88.5    9.5  28.0 41.23   18.2     0.0   18.20    0.00    0.00     0.0   18.20    0.00    0.00     0.0   18.20    0.00    0.00    3.3     37210.036      5.50   47.24000   39.71000  "Undefined"           4.49
09.02.2017 10:20:10.434  5.14400001  5143.70292   0.01  -89.6   10.4  28.0 35.48   18.1     0.0   18.07    0.00    0.00     0.0   18.07    0.00    0.00     0.0   18.07    0.00    0.00    2.6     37210.434      5.50   47.24000   39.71000  "Undefined"           4.49
09.02.2017 10:20:10.632  5.18380003  5183.48280   0.01  -93.8    6.2  28.0  2.87  318.9     0.0  318.86    0.00    0.00     0.0  318.86    0.00    0.00     0.0  318.86    0.00    0.00   21.4     37210.632      5.50   47.24000   39.71000  "Undefined"           4.59
09.02.2017 10:20:10.632  5.18380003  5183.49791   0.01  -89.3   10.7  28.0 33.84   20.8     0.0   20.81    0.00    0.00     0.0   20.81    0.00    0.00     0.0   20.81    0.00    0.00    5.9     37210.632      5.50   47.24000   39.71000  "Undefined"           4.51
09.02.2017 10:20:10.831  5.22340002  5223.10294   0.01  -84.1   15.9  28.0 40.03   19.7     0.0   19.71    0.00    0.00     0.0   19.71    0.00    0.00     0.0   19.71    0.00    0.00    1.8     37210.831      5.50   47.24000   39.71000  "Undefined"           4.49
09.02.2017 10:20:11.029  5.26320000  5262.89788   0.01  -77.4   16.6  28.0 38.09   20.6     0.0   20.57    0.00    0.00     0.0   20.57    0.00    0.00     0.0   20.57    0.00    0.00    2.2     37211.029      5.50   47.24000   39.71000  "Undefined"           4.51
09.02.2017 10:20:11.227  5.30280004  5302.49288   0.01  -84.3   13.7  28.0 38.70   22.0     0.0   21.95    0.00    0.00     0.0   21.95    0.00    0.00     0.0   21.95    0.00    0.00    1.4     37211.227      5.50   47.24000   39.71000  "Undefined"           4.54
09.02.2017 10:20:11.625  5.38239999  5382.09283   0.01  -77.5   22.5  28.0 39.80   21.1     0.0   21.15    0.00    0.00     0.0   21.15    0.00    0.00     0.0   21.15    0.00    0.00    1.6     37211.625      5.50   47.24000   39.71000  "Undefined"           4.54
09.02.2017 10:20:11.823  5.42200003  5421.68784   0.01  -75.1   22.9  28.0 39.78   20.4     0.0   20.40    0.00    0.00     0.0   20.40    0.00    0.00     0.0   20.40    0.00    0.00    2.5     37211.823      5.50   47.24000   39.71000  "Undefined"           4.56
09.02.2017 10:20:12.420  5.54120002  5540.87776   0.01  -79.8   20.2  28.0 42.03   20.6     0.0   20.58    0.00    0.00     0.0   20.58    0.00    0.00     0.0   20.58    0.00    0.00    3.6     37212.420      5.50   47.24000   39.71000  "Undefined"           4.61
09.02.2017 10:20:12.618  5.58100000  5580.67270   0.01  -87.9   12.1  28.0 44.88   21.9     0.0   21.95    0.00    0.00     0.0   21.95    0.00    0.00     0.0   21.95    0.00    0.00    7.2     37212.618      5.50   47.24000   39.71000  "Undefined"           4.64
09.02.2017 10:20:12.816  5.62060004  5620.26770   0.01  -86.3   13.7  28.0 44.28   21.5     0.0   21.46    0.00    0.00     0.0   21.46    0.00    0.00     0.0   21.46    0.00    0.00    2.8     37212.816      5.50   47.24000   39.71000  "Undefined"           4.66
09.02.2017 10:20:13.213  5.70000000  5699.66263   0.01  -89.0   11.0  28.0 42.10   21.5     0.0   21.47    0.00    0.00     0.0   21.47    0.00    0.00     0.0   21.47    0.00    0.00   15.0     37213.213      5.50   47.24000   39.71000  "Undefined"           4.69
09.02.2017 10:20:13.413  5.73980003  5739.45762   0.01  -90.9    7.1  28.0 44.50   26.8     0.0   26.75    0.00    0.00     0.0   26.75    0.00    0.00     0.0   26.75    0.00    0.00   24.4     37213.413      5.50   47.24000   39.71000  "Undefined"           4.71
09.02.2017 10:20:13.809  5.81920000  5818.85759   0.01  -87.5   10.5  28.0 42.24   21.3     0.0   21.26    0.00    0.00     0.0   21.26    0.00    0.00     0.0   21.26    0.00    0.00   10.5     37213.809      5.50   47.24000   39.71000  "Undefined"           4.71
09.02.2017 10:20:14.009  5.85900002  5858.66265   0.01  -88.4    9.6  28.0 45.66   20.6     0.0   20.55    0.00    0.00     0.0   20.55    0.00    0.00     0.0   20.55    0.00    0.00    8.1     37214.009      5.50   47.24000   39.71000  "Undefined"           4.69
09.02.2017 10:20:14.405  5.93840003  5938.08784   0.01  -84.6    9.4  28.0 43.36   13.5     0.0   13.54    0.00    0.00     0.0   13.54    0.00    0.00     0.0   13.54    0.00    0.00   16.7     37214.405      5.50   47.24000   39.71000  "Undefined"           4.56
09.02.2017 10:20:14.405  5.93840003  5938.05763   0.01  -79.2   14.8  28.0 43.93   22.0     0.0   22.02    0.00    0.00     0.0   22.02    0.00    0.00     0.0   22.02    0.00    0.00    3.6     37214.405      5.50   47.24000   39.71000  "Undefined"           4.71
09.02.2017 10:20:14.604  5.97800003  5977.68279   0.01  -80.4   15.6  28.0 41.03   15.7     0.0   15.73    0.00    0.00     0.0   15.73    0.00    0.00     0.0   15.73    0.00    0.00    8.1     37214.604      5.50   47.24000   39.71000  "Undefined"           4.59
