
[strDate]   [strTime]    [Frq_rpu]   [Frq_meg]    [Band]  [E]   [S_N] [Att]  [B]     [A]    [S0]  [aIRI0]   [Lat0]  [Lon0]   [S1]  [aIRI1]  [Lat1]  [Lon1]   [S2]  [aIRI2]  [Lat2]  [Lon2] [Sigm] [Time_sec]       [Cource] [BaseLat] [BaseLon] [TypeSignalName]    [Delay]
06.01.2017 11:30:19.924  8.07909999  8078.89983   0.00  -88.4   13.6  28.0 14.33  202.3     0.0  202.26    0.00    0.00     0.0  202.26    0.00    0.00     0.0  202.26    0.00    0.00    4.1     41419.924      5.50   47.24000   39.71000  "Undefined"           5.00
06.01.2017 11:30:19.924  8.07909999  8078.89354   0.00  -78.4   23.6  28.0 19.33  203.0     0.0  203.05    0.00    0.00     0.0  203.05    0.00    0.00     0.0  203.05    0.00    0.00   10.4     41419.924      5.50   47.24000   39.71000  "Undefined"           5.06
06.01.2017 11:30:20.717  8.15860000  8158.39481   0.00  -86.1   17.9  28.0 21.26  199.0     0.0  199.02    0.00    0.00     0.0  199.02    0.00    0.00     0.0  199.02    0.00    0.00   21.8     41420.717      5.50   47.24000   39.71000  "Undefined"           5.05
06.01.2017 11:30:21.513  8.23799999  8237.79606   0.00  -80.0   22.0  28.0 17.41  204.7     0.0  204.70    0.00    0.00     0.0  204.70    0.00    0.00     0.0  204.70    0.00    0.00    4.4     41421.513      5.50   47.24000   39.71000  "Undefined"           5.04
06.01.2017 11:30:21.513  8.23799999  8237.79983   0.00  -77.5   24.5  28.0 15.78  203.5     0.0  203.51    0.00    0.00     0.0  203.51    0.00    0.00     0.0  203.51    0.00    0.00    3.4     41421.513      5.50   47.24000   39.71000  "Undefined"           5.00
06.01.2017 11:30:21.513  8.23799999  8237.79228   0.00  -75.6   26.4  28.0 17.92  203.2     0.0  203.24    0.00    0.00     0.0  203.24    0.00    0.00     0.0  203.24    0.00    0.00    5.4     41421.513      5.50   47.24000   39.71000  "Undefined"           5.08
06.01.2017 11:30:22.306  8.31759999  8317.39857   0.00  -80.3   21.7  28.0 16.86  202.0     0.0  202.02    0.00    0.00     0.0  202.02    0.00    0.00     0.0  202.02    0.00    0.00    7.6     41422.306      5.50   47.24000   39.71000  "Undefined"           5.01
06.01.2017 11:30:22.306  8.31759999  8317.39354   0.00  -79.0   23.0  28.0 17.92  201.6     0.0  201.56    0.00    0.00     0.0  201.56    0.00    0.00     0.0  201.56    0.00    0.00    8.3     41422.306      5.50   47.24000   39.71000  "Undefined"           5.06
06.01.2017 11:30:23.101  8.39689999  8396.69731   0.00  -80.1   23.9  28.0 13.10  203.9     0.0  203.90    0.00    0.00     0.0  203.90    0.00    0.00     0.0  203.90    0.00    0.00    5.6     41423.101      5.50   47.24000   39.71000  "Undefined"           5.03
06.01.2017 11:30:23.101  8.39689999  8396.69354   0.00  -73.8   30.2  28.0 14.67  202.9     0.0  202.87    0.00    0.00     0.0  202.87    0.00    0.00     0.0  202.87    0.00    0.00    4.3     41423.101      5.50   47.24000   39.71000  "Undefined"           5.06
06.01.2017 11:30:23.895  8.47630000  8476.09355   0.00  -77.8   22.2  28.0 12.42  204.5     0.0  204.48    0.00    0.00     0.0  204.48    0.00    0.00     0.0  204.48    0.00    0.00    4.9     41423.895      5.50   47.24000   39.71000  "Undefined"           5.06
06.01.2017 11:30:23.895  8.47630000  8476.09985   0.00  -74.9   25.1  28.0 10.33  202.1     0.0  202.12    0.00    0.00     0.0  202.12    0.00    0.00     0.0  202.12    0.00    0.00    1.9     41423.895      5.50   47.24000   39.71000  "Undefined"           5.00
06.01.2017 11:30:24.690  8.55569999  8555.49984   0.00  -76.7   29.3  28.0 13.66  202.1     0.0  202.07    0.00    0.00     0.0  202.07    0.00    0.00     0.0  202.07    0.00    0.00    3.4     41424.690      5.50   47.24000   39.71000  "Undefined"           5.00
06.01.2017 11:30:24.690  8.55569999  8555.49480   0.00  -75.3   30.7  28.0 10.26  205.4     0.0  205.39    0.00    0.00     0.0  205.39    0.00    0.00     0.0  205.39    0.00    0.00    3.9     41424.690      5.50   47.24000   39.71000  "Undefined"           5.05
06.01.2017 11:30:25.484  8.63520000  8634.99859   0.00  -76.5   31.5  28.0 11.62  202.6     0.0  202.59    0.00    0.00     0.0  202.59    0.00    0.00     0.0  202.59    0.00    0.00    3.5     41425.484      5.50   47.24000   39.71000  "Undefined"           5.01
06.01.2017 11:30:25.484  8.63520000  8634.99229   0.00  -72.4   35.6  28.0 13.50  202.1     0.0  202.08    0.00    0.00     0.0  202.08    0.00    0.00     0.0  202.08    0.00    0.00    2.3     41425.484      5.50   47.24000   39.71000  "Undefined"           5.08
06.01.2017 11:30:26.279  8.71459999  8714.39228   0.00  -78.0    8.0  28.0 11.70  202.1     0.0  202.05    0.00    0.00     0.0  202.05    0.00    0.00     0.0  202.05    0.00    0.00    7.1     41426.279      5.50   47.24000   39.71000  "Undefined"           5.08
06.01.2017 11:30:26.279  8.71459999  8714.39984   0.00  -77.3    8.7  28.0  0.84  201.7     0.0  201.67    0.00    0.00     0.0  201.67    0.00    0.00     0.0  201.67    0.00    0.00    6.4     41426.279      5.50   47.24000   39.71000  "Undefined"           5.00
06.01.2017 11:30:26.279  8.71459999  8714.39606   0.00  -76.7    9.3  28.0  9.87  200.9     0.0  200.93    0.00    0.00     0.0  200.93    0.00    0.00     0.0  200.93    0.00    0.00   11.8     41426.279      5.50   47.24000   39.71000  "Undefined"           5.04
06.01.2017 11:30:27.072  8.79410000  8793.89607   0.00  -66.6   39.4  28.0 13.70  203.3     0.0  203.27    0.00    0.00     0.0  203.27    0.00    0.00     0.0  203.27    0.00    0.00    2.5     41427.072      5.50   47.24000   39.71000  "Undefined"           5.04
06.01.2017 11:30:27.868  8.87349999  8873.29858   0.00  -81.2   26.8  28.0 10.10  204.0     0.0  204.05    0.00    0.00     0.0  204.05    0.00    0.00     0.0  204.05    0.00    0.00    1.6     41427.868      5.50   47.24000   39.71000  "Undefined"           5.01
06.01.2017 11:30:27.868  8.87349999  8873.29354   0.00  -77.7   30.3  28.0 16.41  201.5     0.0  201.45    0.00    0.00     0.0  201.45    0.00    0.00     0.0  201.45    0.00    0.00    3.5     41427.868      5.50   47.24000   39.71000  "Undefined"           5.06
06.01.2017 11:30:28.661  8.95290001  8952.69985   0.00  -79.3   26.7  28.0 16.68  203.0     0.0  203.04    0.00    0.00     0.0  203.04    0.00    0.00     0.0  203.04    0.00    0.00    0.9     41428.661      5.50   47.24000   39.71000  "Undefined"           5.00
06.01.2017 11:30:28.661  8.95290001  8952.69607   0.00  -72.1   33.9  28.0 14.61  203.5     0.0  203.45    0.00    0.00     0.0  203.45    0.00    0.00     0.0  203.45    0.00    0.00    1.3     41428.661      5.50   47.24000   39.71000  "Undefined"           5.04
06.01.2017 11:30:29.456  9.03239999  9032.20739   0.00  -83.8   24.2  28.0 16.02  203.1     0.0  203.08    0.00    0.00     0.0  203.08    0.00    0.00     0.0  203.08    0.00    0.00    2.3     41429.456      5.50   47.24000   39.71000  "Undefined"           4.93
06.01.2017 11:30:29.456  9.03239999  9032.19606   0.00  -70.7   37.3  28.0 16.52  202.7     0.0  202.74    0.00    0.00     0.0  202.74    0.00    0.00     0.0  202.74    0.00    0.00    4.2     41429.456      5.50   47.24000   39.71000  "Undefined"           5.04
06.01.2017 11:30:30.250  9.11180001  9111.59733   0.00  -70.3   39.7  28.0 14.21  204.8     0.0  204.78    0.00    0.00     0.0  204.78    0.00    0.00     0.0  204.78    0.00    0.00    2.3     41430.250      5.50   47.24000   39.71000  "Undefined"           5.03
06.01.2017 11:30:31.045  9.19120000  9190.99229   0.00  -86.2   23.8  28.0 14.70  203.8     0.0  203.76    0.00    0.00     0.0  203.76    0.00    0.00     0.0  203.76    0.00    0.00    2.5     41431.045      5.50   47.24000   39.71000  "Undefined"           5.08
06.01.2017 11:30:31.045  9.19120000  9190.99732   0.00  -74.8   35.2  28.0 15.38  200.3     0.0  200.31    0.00    0.00     0.0  200.31    0.00    0.00     0.0  200.31    0.00    0.00    2.7     41431.045      5.50   47.24000   39.71000  "Undefined"           5.03
06.01.2017 11:30:31.839  9.27070000  9270.49607   0.00  -70.3   37.7  28.0 15.64  202.6     0.0  202.64    0.00    0.00     0.0  202.64    0.00    0.00     0.0  202.64    0.00    0.00    4.0     41431.839      5.50   47.24000   39.71000  "Undefined"           5.04
06.01.2017 11:30:32.634  9.35009999  9349.89732   0.00  -67.9   14.1  28.0 15.00  203.3     0.0  203.32    0.00    0.00     0.0  203.32    0.00    0.00     0.0  203.32    0.00    0.00    3.6     41432.634      5.50   47.24000   39.71000  "Undefined"           5.03
06.01.2017 11:30:33.427  9.42960000  9429.40362   0.00  -84.1   13.9  28.0 16.80  204.9     0.0  204.85    0.00    0.00     0.0  204.85    0.00    0.00     0.0  204.85    0.00    0.00    4.3     41433.427      5.50   47.24000   39.71000  "Undefined"           4.96
06.01.2017 11:30:33.427  9.42960000  9429.39733   0.00  -63.2   34.8  28.0 14.59  203.0     0.0  202.96    0.00    0.00     0.0  202.96    0.00    0.00     0.0  202.96    0.00    0.00    3.7     41433.427      5.50   47.24000   39.71000  "Undefined"           5.03
06.01.2017 11:30:34.223  9.50899999  9508.80487   0.00  -88.1   11.9  28.0 14.21  205.3     0.0  205.29    0.00    0.00     0.0  205.29    0.00    0.00     0.0  205.29    0.00    0.00    5.6     41434.223      5.50   47.24000   39.71000  "Undefined"           4.95
06.01.2017 11:30:34.223  9.50899999  9508.79732   0.00  -65.9   34.1  28.0 15.77  202.2     0.0  202.22    0.00    0.00     0.0  202.22    0.00    0.00     0.0  202.22    0.00    0.00    4.8     41434.223      5.50   47.24000   39.71000  "Undefined"           5.03
06.01.2017 11:30:35.016  9.58840001  9588.19733   0.00  -73.8   22.2  28.0 16.53  203.3     0.0  203.32    0.00    0.00     0.0  203.32    0.00    0.00     0.0  203.32    0.00    0.00   13.7     41435.016      5.50   47.24000   39.71000  "Undefined"           5.03
06.01.2017 11:30:35.811  9.66789999  9667.70361   0.00  -89.1   12.9  28.0 16.03  205.9     0.0  205.90    0.00    0.00     0.0  205.90    0.00    0.00     0.0  205.90    0.00    0.00    7.8     41435.811      5.50   47.24000   39.71000  "Undefined"           4.96
