
[strDate]   [strTime]    [Frq_rpu]   [Frq_meg]    [Band]  [E]   [S_N] [Att]  [B]     [A]    [S0]  [aIRI0]   [Lat0]  [Lon0]   [S1]  [aIRI1]  [Lat1]  [Lon1]   [S2]  [aIRI2]  [Lat2]  [Lon2] [Sigm] [Time_sec]       [Cource] [BaseLat] [BaseLon] [TypeSignalName]    [Delay]
06.01.2017 11:35:50.901 11.17710002 11176.80545   0.00  -95.6    8.4  28.0 28.05  212.6     0.0  212.57    0.00    0.00     0.0  212.57    0.00    0.00     0.0  212.57    0.00    0.00   11.1     41750.901      5.50   47.24000   39.71000  "Undefined"           5.95
06.01.2017 11:35:51.697 11.25660000 11256.30795   0.00  -92.1    9.9  28.0 30.73  211.6     0.0  211.61    0.00    0.00     0.0  211.61    0.00    0.00     0.0  211.61    0.00    0.00   16.0     41751.697      5.50   47.24000   39.71000  "Undefined"           5.92
06.01.2017 11:35:52.490 11.33600002 11335.71929   0.00  -95.6    6.4  28.0  7.13  204.8     0.0  204.82    0.00    0.00     0.0  204.82    0.00    0.00     0.0  204.82    0.00    0.00    7.0     41752.490      5.50   47.24000   39.71000  "Undefined"           5.81
06.01.2017 11:35:53.285 11.41550000 11415.21298   0.00  -93.1   10.9  28.0 29.21  213.8     0.0  213.75    0.00    0.00     0.0  213.75    0.00    0.00     0.0  213.75    0.00    0.00    3.8     41753.285      5.50   47.24000   39.71000  "Undefined"           5.87
06.01.2017 11:35:53.285 11.41550000 11415.21928   0.00  -89.5   14.5  28.0  0.36  204.1     0.0  204.12    0.00    0.00     0.0  204.12    0.00    0.00     0.0  204.12    0.00    0.00    8.2     41753.285      5.50   47.24000   39.71000  "Undefined"           5.81
06.01.2017 11:35:54.079 11.49490001 11494.61929   0.00  -93.1    6.9  28.0  3.11  204.8     0.0  204.75    0.00    0.00     0.0  204.75    0.00    0.00     0.0  204.75    0.00    0.00   17.8     41754.079      5.50   47.24000   39.71000  "Undefined"           5.81
06.01.2017 11:35:54.079 11.49490001 11494.61426   0.00  -87.9   12.1  28.0 28.30  213.7     0.0  213.66    0.00    0.00     0.0  213.66    0.00    0.00     0.0  213.66    0.00    0.00    9.1     41754.079      5.50   47.24000   39.71000  "Undefined"           5.86
06.01.2017 11:35:56.463 11.73320000 11732.91928   0.00  -92.6    7.4  28.0  0.13  203.6     0.0  203.56    0.00    0.00     0.0  203.56    0.00    0.00     0.0  203.56    0.00    0.00   24.1     41756.463      5.50   47.24000   39.71000  "Undefined"           5.81
06.01.2017 11:35:58.052 11.89210000 11891.82431   0.00  -88.2    7.8  28.0 22.81  213.6     0.0  213.60    0.00    0.00     0.0  213.60    0.00    0.00     0.0  213.60    0.00    0.00   18.0     41758.052      5.50   47.24000   39.71000  "Undefined"           5.76
06.01.2017 11:35:59.640 12.05090001 12050.62180   0.00  -79.6    6.4  28.0 14.27  204.6     0.0  204.65    0.00    0.00     0.0  204.65    0.00    0.00     0.0  204.65    0.00    0.00   16.4     41759.640      5.50   47.24000   39.71000  "Undefined"           5.78
06.01.2017 11:35:59.640 12.05090001 12050.62684   0.00  -76.9    9.1  28.0 20.72  205.7     0.0  205.66    0.00    0.00     0.0  205.66    0.00    0.00     0.0  205.66    0.00    0.00    6.9     41759.640      5.50   47.24000   39.71000  "Undefined"           5.73
06.01.2017 11:36:01.229 12.20980001 12209.53187   0.00  -77.3   28.7  28.0 27.93  211.0     0.0  211.02    0.00    0.00     0.0  211.02    0.00    0.00     0.0  211.02    0.00    0.00    5.1     41761.229      5.50   47.24000   39.71000  "Undefined"           5.68
06.01.2017 11:36:02.023 12.28930001 12289.03440   0.00  -84.0   20.0  28.0 28.64  211.0     0.0  211.02    0.00    0.00     0.0  211.02    0.00    0.00     0.0  211.02    0.00    0.00    5.9     41762.023      5.50   47.24000   39.71000  "Undefined"           5.66
06.01.2017 11:36:02.818 12.36870001 12368.43565   0.00  -80.1   23.9  28.0 26.99  210.8     0.0  210.85    0.00    0.00     0.0  210.85    0.00    0.00     0.0  210.85    0.00    0.00    6.7     41762.818      5.50   47.24000   39.71000  "Undefined"           5.64
06.01.2017 11:36:03.611 12.44810000 12447.83690   0.00  -81.7   22.3  28.0 27.33  210.4     0.0  210.36    0.00    0.00     0.0  210.36    0.00    0.00     0.0  210.36    0.00    0.00    7.1     41763.611      5.50   47.24000   39.71000  "Undefined"           5.63
06.01.2017 11:36:04.407 12.52760000 12527.33942   0.00  -75.0   27.0  28.0 21.97  207.7     0.0  207.72    0.00    0.00     0.0  207.72    0.00    0.00     0.0  207.72    0.00    0.00    5.6     41764.407      5.50   47.24000   39.71000  "Undefined"           5.61
06.01.2017 11:36:05.200 12.60700000 12606.74571   0.00  -97.9    6.1  28.0 23.31  210.6     0.0  210.59    0.00    0.00     0.0  210.59    0.00    0.00     0.0  210.59    0.00    0.00    9.8     41765.200      5.50   47.24000   39.71000  "Undefined"           5.54
