
[strDate]   [strTime]    [Frq_rpu]   [Frq_meg]    [Band]  [E]   [S_N] [Att]  [B]     [A]    [S0]  [aIRI0]   [Lat0]  [Lon0]   [S1]  [aIRI1]  [Lat1]  [Lon1]   [S2]  [aIRI2]  [Lat2]  [Lon2] [Sigm] [Time_sec]       [Cource] [BaseLat] [BaseLon] [TypeSignalName]    [Delay]
06.01.2017 11:50:19.917  8.07909999  8078.91998   0.00  -75.8   26.2  28.0 13.30  202.8     0.0  202.80    0.00    0.00     0.0  202.80    0.00    0.00     0.0  202.80    0.00    0.00    8.7     42619.917      5.50   47.24000   39.71000  "Undefined"           4.80
06.01.2017 11:50:19.917  8.07909999  8078.89858   0.00  -75.2   26.8  28.0 18.93  203.9     0.0  203.90    0.00    0.00     0.0  203.90    0.00    0.00     0.0  203.90    0.00    0.00    5.1     42619.917      5.50   47.24000   39.71000  "Undefined"           5.01
06.01.2017 11:50:20.711  8.15850001  8158.32251   0.00  -83.6   18.4  28.0 11.52  202.0     0.0  202.01    0.00    0.00     0.0  202.01    0.00    0.00     0.0  202.01    0.00    0.00    9.1     42620.711      5.50   47.24000   39.71000  "Undefined"           4.77
06.01.2017 11:50:20.711  8.15850001  8158.31999   0.00  -81.1   20.9  28.0 12.34  202.3     0.0  202.30    0.00    0.00     0.0  202.30    0.00    0.00     0.0  202.30    0.00    0.00    6.2     42620.711      5.50   47.24000   39.71000  "Undefined"           4.80
06.01.2017 11:50:20.711  8.15850001  8158.29733   0.00  -79.9   22.1  28.0 20.83  203.1     0.0  203.13    0.00    0.00     0.0  203.13    0.00    0.00     0.0  203.13    0.00    0.00    5.5     42620.711      5.50   47.24000   39.71000  "Undefined"           5.03
06.01.2017 11:50:21.506  8.23790000  8237.72250   0.00  -77.9   20.1  28.0 11.50  200.9     0.0  200.90    0.00    0.00     0.0  200.90    0.00    0.00     0.0  200.90    0.00    0.00    8.1     42621.506      5.50   47.24000   39.71000  "Undefined"           4.77
06.01.2017 11:50:21.506  8.23790000  8237.71998   0.00  -76.3   21.7  28.0 12.13  202.5     0.0  202.52    0.00    0.00     0.0  202.52    0.00    0.00     0.0  202.52    0.00    0.00    5.8     42621.506      5.50   47.24000   39.71000  "Undefined"           4.80
06.01.2017 11:50:21.506  8.23790000  8237.69606   0.00  -72.0   26.0  28.0 14.99  202.6     0.0  202.61    0.00    0.00     0.0  202.61    0.00    0.00     0.0  202.61    0.00    0.00    8.6     42621.506      5.50   47.24000   39.71000  "Undefined"           5.04
06.01.2017 11:50:21.506  8.23790000  8237.69984   0.00  -71.3   26.7  28.0 18.15  204.1     0.0  204.12    0.00    0.00     0.0  204.12    0.00    0.00     0.0  204.12    0.00    0.00    4.6     42621.506      5.50   47.24000   39.71000  "Undefined"           5.00
06.01.2017 11:50:22.301  8.31740000  8317.21999   0.00  -74.2   23.8  28.0 11.35  202.7     0.0  202.67    0.00    0.00     0.0  202.67    0.00    0.00     0.0  202.67    0.00    0.00    6.9     42622.301      5.50   47.24000   39.71000  "Undefined"           4.80
06.01.2017 11:50:22.301  8.31740000  8317.19859   0.00  -65.8   32.2  28.0 16.45  203.7     0.0  203.74    0.00    0.00     0.0  203.74    0.00    0.00     0.0  203.74    0.00    0.00    3.7     42622.301      5.50   47.24000   39.71000  "Undefined"           5.01
06.01.2017 11:50:23.095  8.39680000  8396.61998   0.00  -79.3   24.7  28.0  3.26  203.6     0.0  203.64    0.00    0.00     0.0  203.64    0.00    0.00     0.0  203.64    0.00    0.00   11.3     42623.095      5.50   47.24000   39.71000  "Undefined"           4.80
06.01.2017 11:50:23.095  8.39680000  8396.59732   0.00  -71.9   32.1  28.0 14.68  202.8     0.0  202.84    0.00    0.00     0.0  202.84    0.00    0.00     0.0  202.84    0.00    0.00    5.3     42623.095      5.50   47.24000   39.71000  "Undefined"           5.03
06.01.2017 11:50:23.888  8.47630000  8476.09481   0.00  -79.3   26.7  28.0  9.79  191.9     0.0  191.95    0.00    0.00     0.0  191.95    0.00    0.00     0.0  191.95    0.00    0.00   15.0     42623.888      5.50   47.24000   39.71000  "Undefined"           5.05
06.01.2017 11:50:23.888  8.47630000  8476.11999   0.00  -75.7   30.3  28.0  8.28  202.9     0.0  202.95    0.00    0.00     0.0  202.95    0.00    0.00     0.0  202.95    0.00    0.00    8.4     42623.888      5.50   47.24000   39.71000  "Undefined"           4.80
06.01.2017 11:50:23.888  8.47630000  8476.09733   0.00  -74.8   31.2  28.0  5.65  207.5     0.0  207.48    0.00    0.00     0.0  207.48    0.00    0.00     0.0  207.48    0.00    0.00   14.0     42623.888      5.50   47.24000   39.71000  "Undefined"           5.03
06.01.2017 11:50:24.684  8.55569999  8555.49606   0.00  -77.3   10.7  28.0 17.05  201.2     0.0  201.16    0.00    0.00     0.0  201.16    0.00    0.00     0.0  201.16    0.00    0.00    5.4     42624.684      5.50   47.24000   39.71000  "Undefined"           5.04
06.01.2017 11:50:24.684  8.55569999  8555.49984   0.00  -75.6   12.4  28.0 13.63  202.1     0.0  202.13    0.00    0.00     0.0  202.13    0.00    0.00     0.0  202.13    0.00    0.00    9.5     42624.684      5.50   47.24000   39.71000  "Undefined"           5.00
06.01.2017 11:50:25.477  8.63510001  8634.89985   0.00  -85.3   22.7  28.0 13.73  204.8     0.0  204.84    0.00    0.00     0.0  204.84    0.00    0.00     0.0  204.84    0.00    0.00    7.7     42625.477      5.50   47.24000   39.71000  "Undefined"           5.00
06.01.2017 11:50:25.477  8.63510001  8634.92251   0.00  -81.6   26.4  28.0  6.40  202.3     0.0  202.29    0.00    0.00     0.0  202.29    0.00    0.00     0.0  202.29    0.00    0.00    2.2     42625.477      5.50   47.24000   39.71000  "Undefined"           4.77
06.01.2017 11:50:25.477  8.63510001  8634.89608   0.00  -73.9   34.1  28.0 12.31  204.8     0.0  204.84    0.00    0.00     0.0  204.84    0.00    0.00     0.0  204.84    0.00    0.00    5.9     42625.477      5.50   47.24000   39.71000  "Undefined"           5.04
06.01.2017 11:50:26.273  8.71459999  8714.39480   0.00  -80.8   25.2  28.0  9.58  200.2     0.0  200.24    0.00    0.00     0.0  200.24    0.00    0.00     0.0  200.24    0.00    0.00    3.3     42626.273      5.50   47.24000   39.71000  "Undefined"           5.05
06.01.2017 11:50:26.273  8.71459999  8714.41998   0.00  -76.6   29.4  28.0  5.38  202.7     0.0  202.67    0.00    0.00     0.0  202.67    0.00    0.00     0.0  202.67    0.00    0.00    2.6     42626.273      5.50   47.24000   39.71000  "Undefined"           4.80
