
+---+-----+-------+---+-----+-----+--------+--------+-------+------+------+-------+------+------+--------+--------+------+------+-------+-------+----------------+
|0-x| fr  |  time |hop| d0  | d1  |   fi   |  teta  |  dist |  at  |  dev |   p   |  df  |  l   |   fot  |   tot  |  rot | lsp  |   pf  |    s  |                |
+---+-----+-------+---+-----+-----+--------+--------+-------+------+------+-------+------+------+--------+--------+------+------+-------+-------+----------------+
|  1|10.00|19800.0|  1|10.12|12.21|  32.996|  56.999| 1673.5|-159.6|   0.5| 1758.8| 0.214|   4.6|  35.695|  50.181|174.62|  62.1| 1715.0| 1735.7|F2              |
|  1|10.00|21600.0|  1| 3.49| 3.55|  33.002|  56.994| 1672.7|-159.6|   0.0| 1700.1| 0.012|   8.7|  35.774|  49.817| 99.65|  59.0| 1694.7| 1697.3|E               |
|  1|10.00|23400.0|  1| 3.21| 3.12|  33.000|  57.001| 1673.6|-159.6|   0.0| 1699.0| 0.006|   9.4|  35.806|  49.735| 97.57|  59.1| 1695.1| 1697.0|E               |
|  1|10.00|27000.0|  1| 3.06| 2.87|  33.000|  56.994| 1672.8|-159.6|   0.0| 1697.1| 0.003|  10.7|  35.818|  49.701| 95.94|  59.2| 1693.9| 1695.4|E               |
|  1|10.00|27000.0|  1|25.45|26.75|  35.729|  49.952|  853.0|-159.7|   0.1|  984.0| 0.068|   5.7|  37.326|  46.414|175.98|  56.2|  906.1|  941.8|F2              |
|   |     |       |  2|26.75|27.04|  32.998|  56.999| 1673.4|-159.6|   0.2| 1936.6| 0.120|  11.8|  34.289|  53.502|172.42|  58.7| 1778.6| 1850.9|F2F2            |
|  1|10.00|28800.0|  1| 3.02| 2.81|  32.998|  57.001| 1673.7|-159.6|   0.0| 1697.8| 0.002|  11.2|  35.822|  49.691| 95.55|  59.2| 1694.7| 1696.1|E               |
|  1|10.00|28800.0|  1|25.13|26.23|  35.732|  49.902|  847.6|-159.6|   0.0|  973.4| 0.024|   6.3|  37.320|  46.384|172.89|  56.9|  899.4|  933.4|F2              |
|   |     |       |  2|26.23|26.43|  33.000|  57.000| 1673.5|-159.6|   0.0| 1927.0| 0.032|  13.1|  34.285|  53.475|170.35|  58.2| 1775.9| 1845.2|F2F2            |
|  1|10.00|30600.0|  1| 3.00| 2.78|  33.002|  56.993| 1672.7|-159.6|   0.0| 1696.6| 0.001|  11.7|  35.816|  49.705| 95.31|  59.2| 1693.6| 1695.0|E               |
|  1|10.00|30600.0|  1|25.51|26.45|  35.738|  49.852|  842.2|-159.5|  -0.1|  969.8|-0.007|   6.6|  37.346|  46.299|174.15|  57.1|  894.6|  929.1|F2              |
|   |     |       |  2|26.45|26.55|  32.998|  57.000| 1673.5|-159.6|  -0.1| 1931.4|-0.030|  13.9|  34.285|  53.442|172.48|  58.2| 1776.7| 1847.6|F2F2            |
|  1|10.00|32400.0|  1| 3.00| 2.76|  33.003|  56.991| 1672.4|-159.6|   0.0| 1696.3| 0.001|  12.0|  35.826|  49.682| 95.19|  59.2| 1693.3| 1694.7|E               |
|  1|10.00|32400.0|  1|26.26|27.02|  35.754|  49.793|  835.5|-159.5|  -0.1|  968.5|-0.024|   6.8|  37.348|  46.274|177.41|  57.1|  889.7|  925.8|F2              |
|   |     |       |  2|27.02|26.86|  33.000|  56.993| 1672.7|-159.6|  -0.3| 1941.6|-0.066|  14.4|  34.293|  53.399|176.72|  58.6| 1779.2| 1853.6|F2F2            |
|  1|10.00|34200.0|  1| 3.00| 2.74|  33.003|  56.992| 1672.6|-159.6|  -0.0| 1696.4| 0.000|  12.3|  35.822|  49.691| 95.12|  59.2| 1693.5| 1694.9|E               |
|  1|10.00|34200.0|  1|27.03|27.63|  35.767|  49.753|  831.0|-159.4|  -0.2|  970.0|-0.033|   6.9|  37.352|  46.256|181.22|  57.0|  887.3|  925.2|F2              |
|   |     |       |  2|27.63|27.35|  32.998|  56.998| 1673.3|-159.6|  -0.3| 1954.9|-0.082|  14.6|  34.282|  53.420|181.43|  59.0| 1783.9| 1862.0|F2F2            |
|  1|10.00|36000.0|  1| 2.99| 2.75|  33.003|  56.993| 1672.6|-159.6|  -0.0| 1696.4|-0.000|  12.6|  35.821|  49.693| 95.11|  59.2| 1693.5| 1694.9|E               |
|  1|10.00|36000.0|  1|27.74|28.21|  35.778|  49.726|  827.8|-159.4|  -0.2|  973.0|-0.033|   6.8|  37.369|  46.217|184.97|  56.8|  886.2|  925.8|F2              |
+---+-----+-------+---+-----+-----+--------+--------+-------+------+------+-------+------+------+--------+--------+------+------+-------+-------+----------------+
|   |     |       |  2|28.21|27.86|  32.997|  56.999| 1673.4|-159.6|  -0.3| 1967.7|-0.078|  14.6|  34.309|  53.352|186.03|  59.3| 1788.3| 1870.1|F2F2            |
|  1|10.00|37800.0|  1| 2.98| 2.77|  33.003|  56.993| 1672.6|-159.6|  -0.0| 1696.5|-0.000|  12.8|  35.820|  49.697| 95.17|  59.2| 1693.5| 1694.9|E               |
|  1|10.00|37800.0|  1|28.31|28.73|  35.783|  49.720|  827.1|-159.4|  -0.2|  978.0|-0.029|   6.7|  37.370|  46.219|188.11|  56.4|  887.2|  928.5|F2              |
