
+---+-----+-------+---+-----+-----+--------+--------+---------+------+------+-------+------+------+--------+--------+------+------+-------+-------+----------------+
|0-x| fr  |  time |hop| d0  | d1  |   fi   |  teta  |   dist  |  at  |  dev |   p   |  df  |  l   |   fot  |   tot  |  rot | lsp  |   pf  |    s  |                |
+---+-----+-------+---+-----+-----+--------+--------+---------+------+------+-------+------+------+--------+--------+------+------+-------+-------+----------------+
|  0|15.50|41700.0|  1|13.43|12.60|  33.000|  57.000| 1673.471|-159.6|  -0.1| 1774.5|-0.024|   5.3|  35.877|  49.522|194.21|  62.9| 1719.3| 1746.8|F2              |
|  1|15.50|41700.0|  1|13.36|12.65|  33.000|  57.000| 1673.466|-159.6|  -0.1| 1775.9|-0.027|   6.2|  35.880|  49.515|191.73|  63.2| 1717.2| 1745.4|F2              |
|  0|10.50|41700.0|  1| 2.67| 3.21|  33.000|  57.000| 1673.500|-159.6|  -0.0| 1697.5|-0.005|  10.9|  35.713|  49.946| 95.84|  59.0| 1694.6| 1696.1|E               |
|  0|10.50|41700.0|  1|11.35|13.42|  32.812|  57.542| 1736.250|-159.6|  -0.0| 1821.0|-0.051|  28.7|  35.801|  49.729|108.25| 108.0| 1743.7| 1782.4|E               |
|  0|10.50|41700.0|  1|15.16|15.95|  33.000|  57.000| 1673.483|-159.6|  -0.1| 1793.9|-0.052|  11.9|  35.839|  49.611|172.73|  65.7| 1690.7| 1742.0|F2              |
|  1|10.50|41700.0|  1| 2.61| 3.13|  33.000|  57.000| 1673.489|-159.6|  -0.0| 1697.3|-0.005|  12.7|  35.716|  49.939| 95.23|  58.9| 1694.4| 1695.8|E               |
|  1|10.50|41700.0|  1|15.35|16.62|  33.000|  57.000| 1673.493|-159.6|  -0.1| 1803.5|-0.063|  15.1|  35.822|  49.651|165.82|  65.3| 1684.5| 1740.2|F2              |
|  1|10.50|41700.0|  1|29.08|28.70|  35.866|  49.506|  802.250|-159.4|  -0.2|  952.0|-0.029|   6.1|  37.450|  46.035|193.43|  58.3|  870.7|  907.8|F2              |
|   |     |       |  2|28.70|27.87|  33.000|  57.000| 1673.5|-159.6|  -0.4| 1981.3|-0.044|  14.8|  34.367|  53.199|201.19|  59.7| 1807.4| 1886.8|F2F2            |
|  0| 7.50|41700.0|  1| 2.39| 2.86|  33.000|  57.000| 1673.499|-159.6|  -0.0| 1695.9|-0.003|  14.5|  35.723|  49.923| 92.87|  59.0| 1693.8| 1694.9|E               |
|  1| 7.50|41700.0|  1| 2.34| 2.80|  33.000|  57.000| 1673.468|-159.6|  -0.0| 1695.8|-0.003|  18.4|  35.722|  49.925| 92.29|  59.1| 1693.6| 1694.6|E               |
|  0| 7.50|41700.0|  1|11.60|11.55|  35.732|  49.901|  847.487|-159.6|   0.0|  878.4|-0.002|  13.0|  37.394|  46.219| 97.36|  56.9|  873.5|  876.0|E               |
|   |     |       |  2|11.55|11.96|  33.000|  57.000| 1673.5|-159.6|  -0.0| 1734.8|-0.008|  30.4|  34.273|  53.520| 95.53|  50.2| 1725.5| 1730.2|EE              |
|  0| 7.50|41700.0|  1|29.27|29.49|  35.902|  49.425|  792.735|-159.4|  -0.1|  937.5|-0.038|   9.6|  37.476|  45.981|178.18|  59.8|  839.0|  886.6|F2              |
|   |     |       |  2|29.49|29.44|  33.000|  57.000| 1673.5|-159.6|  -0.3| 1981.9|-0.069|  23.8|  34.394|  53.129|186.90|  60.6| 1755.2| 1864.7|F2F2            |
|  1| 7.50|41700.0|  1|11.40|11.32|  35.737|  49.888|  846.018|-159.6|  -0.0|  876.4|-0.002|  16.2|  37.397|  46.214| 96.27|  57.0|  871.7|  873.9|E               |
|   |     |       |  2|11.32|11.72|  33.000|  57.000| 1673.5|-159.6|  -0.0| 1733.7|-0.007|  38.0|  34.273|  53.519| 94.57|  49.7| 1724.8| 1728.9|EE              |
|  1| 7.50|41700.0|  1|30.10|30.60|  35.953|  49.296|  777.800|-159.4|  -0.3|  940.2|-0.046|  13.3|  37.484|  45.963|174.15|  60.0|  817.4|  871.2|F2              |
|   |     |       |  2|30.60|30.78|  33.000|  57.000| 1673.5|-159.6|  -0.5| 2031.6|-0.089|  32.7|  34.411|  53.080|182.81|  58.8| 1734.9| 1864.3|F2F2            |
|  0| 7.50|41700.0|  1|40.94|40.76|  36.886|  47.141|  525.985|-159.0|  -0.3|  714.3|-0.030|   6.4|  38.014|  44.847|191.28|  56.1|  618.8|  663.4|F2              |
+---+-----+-------+---+-----+-----+--------+--------+---------+------+------+-------+------+------+--------+--------+------+------+-------+-------+----------------+
|   |     |       |  2|40.76|40.17|  34.845|  51.888| 1081.3|-159.3|  -0.6| 1464.3|-0.050|  14.3|  35.843|  49.437|195.28|  59.0| 1264.8| 1358.2|F2F2            |
|   |     |       |  3|40.17|39.37|  33.000|  57.000| 1673.5|-159.6|  -0.9| 2256.6|-0.062|  24.8|  33.909|  54.352|201.47|  64.3| 1942.5| 2090.0|F2F2F2          |
|  1| 7.50|41700.0|  1|39.69|39.68|  36.897|  47.128|  524.397|-159.0|  -0.3|  715.6|-0.034|  10.0|  37.991|  44.911|185.07|  56.2|  608.6|  653.8|F2              |
|   |     |       |  2|39.68|39.28|  34.857|  51.868| 1078.8|-159.3|  -0.6| 1471.2|-0.061|  22.0|  35.826|  49.503|189.37|  59.3| 1244.0| 1340.1|F2F2            |
|   |     |       |  3|39.28|38.68|  33.000|  57.000| 1673.5|-159.6|  -0.9| 2278.0|-0.080|  38.1|  33.885|  54.443|195.95|  64.3| 1912.7| 2067.3|F2F2F2          |
|  0|15.50|45600.0|  1|12.53|12.39|  33.000|  57.000| 1673.482|-159.6|  -0.1| 1769.9|-0.033|   3.7|  35.808|  49.682|192.36|  62.6| 1721.2| 1745.5|F2              |
|  1|15.50|45600.0|  1|12.39|12.36|  33.000|  57.000| 1673.473|-159.6|  -0.1| 1770.5|-0.038|   4.3|  35.802|  49.696|189.70|  62.7| 1719.4| 1744.0|F2              |
|  0|10.50|45600.0|  1| 3.06| 3.13|  33.000|  57.000| 1673.513|-159.6|  -0.0| 1698.4|-0.004|   9.2|  35.779|  49.789| 97.36|  59.1| 1695.0| 1696.7|E               |
|  0|10.50|45600.0|  1| 9.12|11.17|  33.014|  56.958| 1668.603|-159.6|  -0.1| 1733.8|-0.062|  18.9|  35.549|  50.304|108.04|  93.7| 1684.2| 1709.1|E               |
|  0|10.50|45600.0|  1|12.97|14.54|  33.000|  57.000| 1673.477|-159.6|  -0.2| 1776.9|-0.080|   8.6|  35.745|  49.815|168.70|  64.5| 1697.9| 1737.3|F2              |
|  1|10.50|45600.0|  1| 2.99| 3.02|  33.000|  57.000| 1673.486|-159.6|  -0.0| 1698.1|-0.003|  10.7|  35.782|  49.783| 96.62|  59.0| 1694.8| 1696.4|E               |
|  1|10.50|45600.0|  1|12.97|15.00|  33.000|  57.000| 1673.487|-159.6|  -0.2| 1782.8|-0.096|  11.0|  35.718|  49.874|162.39|  64.3| 1693.3| 1735.4|F2              |
|  0|10.50|45600.0|  1|28.51|28.65|  35.798|  49.662|  820.515|-159.4|  -0.2|  965.9|-0.051|   3.8|  37.402|  46.126|198.22|  57.9|  894.9|  929.3|F2              |
|   |     |       |  2|28.65|28.24|  33.000|  57.000| 1673.5|-159.6|  -0.4| 1969.3|-0.050|   8.5|  34.333|  53.291|202.27|  59.1| 1820.7| 1892.7|F2F2            |
|  1|10.50|45600.0|  1|27.85|28.08|  35.804|  49.648|  818.876|-159.4|  -0.3|  962.7|-0.054|   4.7|  37.387|  46.159|193.39|  58.1|  889.5|  923.0|F2              |
|   |     |       |  2|28.08|27.75|  33.000|  57.000| 1673.5|-159.6|  -0.5| 1967.8|-0.060|  10.8|  34.327|  53.309|197.68|  59.4| 1812.2| 1883.4|F2F2            |
|  0|10.50|45600.0|  1|44.11|44.30|  36.762|  47.376|  554.022|-158.9|  -0.4|  800.6|-0.082|   3.0|  37.920|  45.004|224.63|  55.7|  678.7|  733.3|F2              |
|   |     |       |  2|44.30|43.96|  34.737|  52.150| 1111.8|-159.3|  -0.8| 1605.5|-0.101|   6.3|  35.713|  49.718|225.33|  60.9| 1363.5| 1472.1|F2F2            |
|   |     |       |  3|43.96|43.44|  33.000|  57.000| 1673.5|-159.6|  -1.1| 2409.9|-0.066|   9.9|  33.845|  54.538|227.00|  64.7| 2053.0| 2213.7|F2F2F2          |
|  1|10.50|45600.0|  1|42.23|42.44|  36.787|  47.341|  549.732|-158.9|  -0.5|  780.9|-0.075|   3.8|  37.922|  45.022|215.73|  56.0|  668.2|  715.9|F2              |
+---+-----+-------+---+-----+-----+--------+--------+---------+------+------+-------+------+------+--------+--------+------+------+-------+-------+----------------+
|   |     |       |  2|42.44|42.11|  34.758|  52.109| 1106.9|-159.3|  -0.8| 1571.8|-0.095|   8.1|  35.720|  49.731|216.84|  60.4| 1345.1| 1441.3|F2F2            |
|   |     |       |  3|42.11|41.56|  33.000|  57.000| 1673.5|-159.6|  -1.1| 2370.3|-0.065|  13.0|  33.843|  54.560|219.23|  64.6| 2030.7| 2175.2|F2F2F2          |
|  0| 7.50|45600.0|  1| 2.75| 2.68|  33.000|  57.000| 1673.499|-159.6|  -0.0| 1696.4|-0.002|  12.0|  35.801|  49.737| 93.95|  58.9| 1694.1| 1695.3|E               |
|  1| 7.50|45600.0|  1| 2.70| 2.60|  33.000|  57.000| 1673.520|-159.6|  -0.0| 1696.3|-0.002|  15.3|  35.803|  49.733| 93.32|  58.9| 1693.9| 1695.0|E               |
|  0| 7.50|45600.0|  1|12.04|12.14|  35.726|  49.911|  848.702|-159.6|  -0.0|  881.8|-0.007|  11.9|  37.379|  46.245| 99.39|  56.3|  875.3|  878.6|E               |
|   |     |       |  2|12.14|12.34|  33.000|  57.000| 1673.5|-159.6|  -0.0| 1738.9|-0.011|  24.9|  34.276|  53.509| 97.95|  53.9| 1727.1| 1733.1|EE              |
|  0| 7.50|45600.0|  1|15.62|16.99|  35.180|  51.200|  999.459|-159.5|  -0.1| 1063.5|-0.046|  19.9|  36.989|  47.043|107.83|  78.1| 1019.0| 1041.2|E               |
|   |     |       |  2|16.99|17.27|  32.999|  57.003| 1673.8|-159.6|  -0.1| 1781.2|-0.056|  34.2|  34.031|  54.141|102.18|  80.7| 1725.0| 1753.0|EE              |
|  0| 7.50|45600.0|  1|27.20|28.01|  35.843|  49.540|  806.443|-159.3|  -0.2|  937.6|-0.064|   7.5|  37.415|  46.087|177.08|  59.3|  858.6|  897.1|F2              |
|   |     |       |  2|28.01|28.38|  33.000|  57.000| 1673.5|-159.6|  -0.5| 1952.6|-0.103|  17.1|  34.350|  53.232|182.28|  59.6| 1767.9| 1857.7|F2F2            |
|  1| 7.50|45600.0|  1|11.73|11.77|  35.743|  49.872|  844.184|-159.6|  -0.0|  876.1|-0.006|  14.7|  37.390|  46.224| 97.82|  56.8|  870.4|  873.1|E               |
|   |     |       |  2|11.77|11.96|  33.000|  57.000| 1673.5|-159.6|  -0.0| 1736.8|-0.009|  30.9|  34.283|  53.491| 96.71|  52.5| 1726.2| 1731.1|EE              |
|  1| 7.50|45600.0|  1|17.43|19.49|  34.921|  51.832| 1073.308|-159.5|  -0.2| 1164.1|-0.075|  30.8|  36.792|  47.451|108.59|  92.0| 1084.3| 1120.5|E               |
