
mpch= 20.17
+---+-----+-------+---+-----+-----+--------+--------+---------+------+------+-------+------+------+--------+--------+------+------+-------+-------+----------------+
|0-x| fr  |  time |hop| d0  | d1  |   fi   |  teta  |   dist  |  at  |  dev |   p   |  df  |  l   |   fot  |   tot  |  rot | lsp  |   pf  |    s  |                |
+---+-----+-------+---+-----+-----+--------+--------+---------+------+------+-------+------+------+--------+--------+------+------+-------+-------+----------------+
|  0|15.50|41700.0|  1|13.43|12.60|  33.000|  57.000| 1673.478|-159.6|  -0.1| 1774.5|-0.024|   5.3|  35.881|  49.511|194.21|  62.9| 1719.3| 1746.8|F2              |
mpch= 20.82
|  1|15.50|41700.0|  1|13.36|12.65|  33.000|  57.000| 1673.479|-159.6|  -0.1| 1775.9|-0.027|   6.2|  35.875|  49.527|191.72|  63.2| 1717.2| 1745.4|F2              |
mpch=  9.25
mpch= 12.10
mpch=  9.25
mpch=  9.85
mpch= 20.17
|  0|10.50|41700.0|  1| 2.67| 3.21|  33.000|  57.000| 1673.479|-159.6|  -0.0| 1697.5|-0.005|  10.9|  35.705|  49.966| 95.83|  58.9| 1694.6| 1696.1|E               |
|  0|10.50|41700.0|  1|11.35|13.31|  33.000|  57.000| 1673.479|-159.6|  -0.0| 1754.2|-0.048|  27.2|  35.778|  49.781|108.23| 104.6| 1682.7| 1718.5|E               |
|  0|10.50|41700.0|  1|15.16|15.95|  33.000|  57.000| 1673.479|-159.6|  -0.1| 1793.9|-0.052|  11.9|  35.815|  49.667|172.69|  65.7| 1690.7| 1742.0|F2              |
mpch= 20.82
|  1|10.50|41700.0|  1| 2.61| 3.13|  33.000|  57.000| 1673.479|-159.6|  -0.0| 1697.3|-0.005|  12.7|  35.702|  49.971| 95.20|  58.9| 1694.4| 1695.8|E               |
|  1|10.50|41700.0|  1|15.35|16.62|  33.000|  57.000| 1673.479|-159.6|  -0.1| 1803.4|-0.063|  15.1|  35.788|  49.730|165.76|  65.4| 1684.5| 1740.2|F2              |
mpch=  9.25
mpch= 12.10
|  1|10.50|41700.0|  1|29.08|28.70|  35.866|  49.506|  802.251|-159.4|  -0.2|  952.0|-0.029|   6.1|  37.448|  46.037|193.43|  58.3|  870.7|  907.8|F2              |
|   |     |       |  2|28.70|27.87|  33.000|  57.000| 1673.5|-159.6|  -0.4| 1981.3|-0.044|  14.8|  34.373|  53.182|201.20|  59.7| 1807.4| 1886.8|F2F2            |
mpch=  9.25
mpch=  9.85
mpch= 20.17
|  0| 7.50|41700.0|  1| 2.39| 2.86|  33.000|  57.000| 1673.479|-159.6|  -0.0| 1695.9|-0.003|  14.5|  35.722|  49.925| 92.87|  59.0| 1693.7| 1694.8|E               |
mpch= 20.82
|  1| 7.50|41700.0|  1| 2.34| 2.80|  33.000|  57.000| 1673.479|-159.6|  -0.0| 1695.8|-0.003|  18.4|  35.718|  49.935| 92.28|  59.0| 1693.6| 1694.6|E               |
mpch=  9.25
