
+---+-----+-------+---+-----+-----+--------+--------+-------+------+------+-------+------+------+--------+--------+------+------+-------+-------+----------------+
|0-x| fr  |  time |hop| d0  | d1  |   fi   |  teta  |  dist |  at  |  dev |   p   |  df  |  l   |   fot  |   tot  |  rot | lsp  |   pf  |    s  |                |
+---+-----+-------+---+-----+-----+--------+--------+-------+------+------+-------+------+------+--------+--------+------+------+-------+-------+----------------+
|  0|15.50|41700.0|  1|13.45|12.56|  33.000|  57.000| 1673.479|-159.6|  -0.1| 1774.3|-0.024|   5.2|  35.879|  49.515|194.23|  62.9| 1719.4| 1746.8|F2              |
|  1|15.50|41700.0|  1|13.34|12.69|  33.000|  57.000| 1673.463|-159.6|  -0.1| 1776.0|-0.027|   6.2|  35.879|  49.517|191.78|  63.3| 1717.1| 1745.4|F2              |
|  0|10.50|41700.0|  1| 2.69| 3.20|  33.000|  57.000| 1673.473|-159.6|  -0.0| 1697.5|-0.005|  10.7|  35.715|  49.943| 95.88|  58.9| 1694.6| 1696.1|E               |
|  1|10.50|41700.0|  1| 2.59| 3.14|  33.000|  57.000| 1673.512|-159.6|  -0.0| 1697.3|-0.005|  12.8|  35.711|  49.952| 95.21|  59.1| 1694.4| 1695.8|E               |
|  1|10.50|41700.0|  1|29.15|28.79|  35.866|  49.502|  801.807|-159.4|  -0.3|  951.7|-0.029|   6.1|  37.457|  46.012|193.72|  58.3|  870.5|  907.7|F2              |
|   |     |       |  2|28.79|28.00|  33.000|  57.000| 1673.5|-159.6|  -0.5| 1981.7|-0.043|  14.9|  34.377|  53.168|201.31|  59.4| 1807.5| 1887.4|F2F2            |
|  0| 7.50|41700.0|  1| 2.41| 2.84|  33.000|  57.000| 1673.518|-159.6|  -0.0| 1695.9|-0.003|  14.2|  35.726|  49.916| 92.91|  58.8| 1693.8| 1694.9|E               |
|  1| 7.50|41700.0|  1| 2.33| 2.81|  33.000|  57.000| 1673.502|-159.6|  -0.0| 1695.8|-0.003|  18.5|  35.718|  49.935| 92.27|  59.2| 1693.6| 1694.6|E               |
|  0| 7.50|41700.0|  1|11.63|11.57|  35.735|  49.893|  846.549|-159.6|   0.0|  877.5|-0.002|  12.9|  37.393|  46.223| 97.38|  56.8|  872.6|  875.1|E               |
